matchID,team1_ID,team2_ID,date,tournament,winner,avg_gk_saves_T1,avg_red_card_T1,avg_yellow_card_T1,avg_assists_T1,avg_shots_T1,avg_shots_against_T1,avg_shots_on_target_T1,avg_passes_T1,avg_goals_T1,avg_goals_against_T1,avg_ball_possession_T1,avg_pass_acc_T1,avg_gk_acc_T1,avg_shot_acc_T1,avg_gk_saves_T2,avg_red_card_T2,avg_yellow_card_T2,avg_assists_T2,avg_shots_T2,avg_shots_against_T2,avg_shots_on_target_T2,avg_passes_T2,avg_goals_T2,avg_goals_against_T2,avg_ball_possession_T2,avg_pass_acc_T2,avg_gk_acc_T2,avg_shot_acc_T2
2516860,2443,2445,"December 2, 2017 at 3:30:00 PM GMT+1",Germany,1,5.0,0.0,1.5,0.5,6.0,15.0,3.5,255.0,1.0,1.5,0.32564879609447694,0.7736932179355532,0.7738095238095238,0.5,3.75,0.0,1.5,0.25,6.75,13.75,1.5,290.25,0.25,1.5,0.4175741436738618,0.7746939371173415,0.65625,0.23214285714285712
2516932,2443,2451,"February 11, 2018 at 6:00:00 PM GMT+1",Germany,1,4.333333333333333,0.0,1.6666666666666667,0.6666666666666666,9.0,13.666666666666666,4.0,269.3333333333333,1.0,1.0,0.34936728439143555,0.7672722718726472,0.8492063492063492,0.4444444444444444,4.25,0.0,1.25,0.5,8.25,13.5,3.0,337.25,0.75,1.0,0.48106295879747085,0.8192110308616953,0.8616071428571428,0.37589285714285714
2516950,2443,2450,"February 24, 2018 at 6:30:00 PM GMT+1",Germany,1,4.25,0.0,1.5,1.25,10.0,13.25,4.25,267.75,1.5,1.0,0.3566297798403393,0.7783863026699176,0.8369047619047619,0.42948717948717946,2.2,0.2,2.4,0.6,10.4,13.8,3.6,285.2,1.4,1.8,0.4417162504248533,0.7865613277598762,0.42095238095238097,0.33106060606060606
2516968,2443,2463,"March 12, 2018 at 8:30:00 PM GMT+1",Germany,1,3.6,0.0,1.4,1.0,10.4,11.6,4.2,302.0,1.4,0.8,0.42555941492658445,0.7915551959820879,0.8695238095238096,0.41025641025641024,4.8,0.0,1.4,0.8,9.6,16.6,2.8,274.6,1.2,1.4,0.3822725806288242,0.7570003959660787,0.7611111111111111,0.28968253968253965
2516841,2443,2455,"November 19, 2017 at 6:00:00 PM GMT+1",Germany,1,2.8,0.0,1.0,1.4,10.8,11.0,4.0,300.6,1.6,0.8,0.42222913480573193,0.7949087911608077,0.8028571428571428,0.3602564102564102,6.6,0.0,2.0,0.6,10.4,21.4,3.6,282.4,0.8,2.2,0.4267138987968882,0.7661058868994033,0.7468253968253968,0.3366161616161616
2516806,2443,2454,"October 15, 2017 at 6:00:00 PM GMT+2",Germany,0,3.2,0.0,0.8,2.2,13.0,9.4,5.0,341.4,2.4,0.4,0.478062390221035,0.8139225082356205,0.86,0.3902564102564102,4.0,0.0,2.0,0.2,10.4,13.6,3.4,390.0,1.2,2.0,0.5085105342791925,0.8506240822360045,0.5628571428571428,0.3357692307692307
2516823,2443,2481,"October 29, 2017 at 3:30:00 PM GMT+1",Germany,0,3.8,0.0,0.6,2.0,13.2,9.8,5.0,355.0,2.2,0.8,0.4876444298830167,0.8275308143087253,0.8099999999999999,0.3860897435897436,3.6,0.0,2.0,0.6,11.2,16.0,3.8,275.2,0.6,2.0,0.423176776429197,0.7683208694158469,0.5955555555555556,0.3591577540106952
2516770,2443,2449,"September 16, 2017 at 3:30:00 PM GMT+2",Germany,0,3.6,0.0,0.8,1.4,13.0,10.6,4.4,389.6,1.6,1.2,0.5377907024753326,0.8371772457500286,0.75,0.34249999999999997,2.8,0.0,1.8,0.6,8.8,11.8,3.6,342.0,1.4,0.2,0.4641732373225416,0.8230330941111387,0.76,0.40777777777777774
2516739,2444,2446,"August 18, 2017 at 8:30:00 PM GMT+2",Germany,1,1.5,0.0,1.0,3.5,15.0,7.0,8.0,618.5,4.5,1.0,0.6759671716614843,0.9109577992996793,0.375,0.5358851674641147,4.0,0.0,0.0,1.5,11.0,17.0,5.0,375.0,2.0,2.5,0.557602510977797,0.8223953823953825,0.6527777777777778,0.4358974358974359
2516874,2444,2463,"December 13, 2017 at 8:30:00 PM GMT+1",Germany,1,2.0,0.0,1.0,3.0,14.333333333333334,11.333333333333334,7.666666666666667,549.6666666666666,4.0,1.0,0.6189454347024275,0.8922291276105746,0.5,0.5367439577965893,5.666666666666667,0.0,3.0,1.0,12.333333333333334,15.333333333333334,2.0,391.3333333333333,1.0,2.0,0.49814529593628015,0.8419406981906983,0.736111111111111,0.16239316239316234
2516856,2444,2455,"December 2, 2017 at 3:30:00 PM GMT+1",Germany,1,1.75,0.0,0.75,2.5,17.0,10.25,7.75,603.0,3.25,0.75,0.6867878391540085,0.89411288344378,0.625,0.482557968347442,4.666666666666667,0.0,3.0,0.6666666666666666,12.333333333333334,14.333333333333334,4.0,290.3333333333333,1.0,2.0,0.4460101321760542,0.8028302836665206,0.7222222222222222,0.3247863247863248
2516901,2444,2443,"January 21, 2018 at 3:30:00 PM GMT+1",Germany,1,2.4,0.0,1.0,1.8,18.6,10.6,7.6,554.8,2.6,0.8,0.6698142558537656,0.8769642295819893,0.7833333333333333,0.4351256485450034,4.0,0.0,1.8,0.4,8.4,12.4,3.4,362.0,0.8,1.0,0.46801142754820607,0.808174703704531,0.7695238095238095,0.40888888888888886
2516910,2444,2482,"January 27, 2018 at 3:30:00 PM GMT+1",Germany,1,2.4,0.0,1.0,1.8,19.6,10.6,7.8,568.8,2.6,1.0,0.6819026010098604,0.8803133787966491,0.7533333333333333,0.41353473945409436,3.0,0.0,2.3333333333333335,1.3333333333333333,11.666666666666666,12.666666666666666,5.666666666666667,442.6666666666667,2.0,2.0,0.5520021697152171,0.8412146642695757,0.5277777777777778,0.48504273504273504
2516964,2444,2450,"March 10, 2018 at 3:30:00 PM GMT+1",Germany,1,2.4,0.0,0.8,2.4,21.2,7.8,8.0,579.2,3.0,1.2,0.7000492948606999,0.8805767341272978,0.7233333333333334,0.38203290795226275,3.2,0.2,2.0,0.4,8.0,13.2,3.0,242.2,0.8,1.6,0.36978243739599675,0.7424156545383955,0.6333333333333334,0.3496320346320346
2516982,2444,2447,"March 31, 2018 at 6:30:00 PM GMT+2",Germany,1,2.2,0.0,1.0,2.6,19.8,6.6,8.0,547.2,4.0,1.2,0.6860679170120109,0.8790262708025238,0.5233333333333333,0.40692179684115165,3.2,0.0,1.0,1.6,12.8,14.8,5.0,430.8,1.8,0.8,0.5845575878589824,0.8417373276035311,0.5866666666666667,0.37775641025641027
2517036,2444,2445,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0,2.2,0.0,0.8,3.4,16.6,6.8,7.2,544.8,4.6,1.0,0.6587618196006502,0.8778829577409997,0.5733333333333334,0.4361691086691087,3.2,0.0,2.0,0.8,10.0,12.0,4.6,358.8,1.6,1.4,0.47959067034392033,0.806825571015439,0.7054545454545454,0.47185314685314683
2516838,2444,2481,"November 18, 2017 at 3:30:00 PM GMT+1",Germany,1,2.4,0.0,0.6,3.2,17.0,6.6,7.6,588.0,4.4,1.6,0.7119384896249727,0.888164614768319,0.5257142857142857,0.452579365079365,4.0,0.0,1.6,1.0,11.6,16.2,4.0,283.0,1.2,1.6,0.45993320312517305,0.7745012748322357,0.6755555555555556,0.36415775401069517
2516802,2444,2453,"October 14, 2017 at 3:30:00 PM GMT+2",Germany,1,2.4,0.0,0.6,3.0,16.8,6.2,7.2,600.0,4.2,1.2,0.7367440525623454,0.8880501345702992,0.6057142857142856,0.4317460317460317,3.4,0.2,2.4,0.6,14.6,13.2,5.2,381.6,1.4,2.6,0.5544970491478082,0.824790186650536,0.5404761904761904,0.3190909090909091
2516820,2444,2975,"October 28, 2017 at 6:30:00 PM GMT+2",Germany,1,2.2,0.0,0.6,2.4,16.4,6.2,7.2,638.2,4.2,0.8,0.762528470979422,0.8962844771876981,0.6857142857142857,0.439766081871345,3.2,0.2,2.4,2.0,14.4,11.8,6.8,336.6,3.0,1.8,0.5226869244515489,0.8237347485128652,0.5833333333333334,0.5256016042780749
2516766,2444,2460,"September 16, 2017 at 3:30:00 PM GMT+2",Germany,1,2.4,0.0,0.6,2.4,17.2,6.6,6.8,654.4,3.4,0.8,0.7539013837809063,0.8995554170967012,0.8857142857142858,0.4054226475279107,2.6,0.0,1.6,0.4,8.0,12.6,2.4,275.4,0.6,2.0,0.38716294059342143,0.7906341197935223,0.5533333333333333,0.42538461538461536
