matchID,team1_ID,team2_ID,date,tournament,winner,avg_avg_closeness_centrality_T1,avg_std_closeness_centrality_T1,avg_min_closeness_centrality_T1,avg_max_closeness_centrality_T1,avg_avg_degree_centrality_T1,avg_std_degree_centrality_T1,avg_min_degree_centrality_T1,avg_max_degree_centrality_T1,avg_avg_betweenness_centrality_T1,avg_std_betweenness_centrality_T1,avg_min_betweenness_centrality_T1,avg_max_betweenness_centrality_T1,avg_avg_eigenvector_centrality_T1,avg_std_eigenvector_centrality_T1,avg_min_eigenvector_centrality_T1,avg_max_eigenvector_centrality_T1,avg_avg_clustering_T1,avg_std_clustering_T1,avg_min_clustering_T1,avg_max_clustering_T1,avg_avg_shortest_path_T1,avg_mean_centroid_y_T1,avg_std_centroid_y_T1,avg_mean_centroid_x_T1,avg_std_centroid_x_T1,avg_avg_closeness_centrality_T2,avg_std_closeness_centrality_T2,avg_min_closeness_centrality_T2,avg_max_closeness_centrality_T2,avg_avg_degree_centrality_T2,avg_std_degree_centrality_T2,avg_min_degree_centrality_T2,avg_max_degree_centrality_T2,avg_avg_betweenness_centrality_T2,avg_std_betweenness_centrality_T2,avg_min_betweenness_centrality_T2,avg_max_betweenness_centrality_T2,avg_avg_eigenvector_centrality_T2,avg_std_eigenvector_centrality_T2,avg_min_eigenvector_centrality_T2,avg_max_eigenvector_centrality_T2,avg_avg_clustering_T2,avg_std_clustering_T2,avg_min_clustering_T2,avg_max_clustering_T2,avg_avg_shortest_path_T2,avg_mean_centroid_y_T2,avg_std_centroid_y_T2,avg_mean_centroid_x_T2,avg_std_centroid_x_T2
2500688,3766,3779,"August 5, 2017 at 8:00:00 PM GMT+2",France,1,0.8667414235596054,0.10792925660056414,0.6157407407407408,1.0,1.654545454545455,0.25268907856769285,1.0,1.9000000000000001,0.0195286195286195,0.012092406389161732,0.0024617871840093668,0.041363903586125766,0.295966693632248,0.056787146063624304,0.1430166551555542,0.34680798983150596,0.8564798284613834,0.03844036006554657,0.8039449411096921,0.9175145348837209,1.1757575757575758,49.85237284812022,22.45498796594849,48.20548203536213,16.807737526983267,0.8431530590621499,0.12443588677857831,0.625,1.0,1.581818181818182,0.23280813525732458,1.2000000000000002,1.9,0.023737373737373703,0.0175741972793757,0.0027777777777777,0.063558201058201,0.2944328231447214,0.0649419773197394,0.16059553269957022,0.3653648595343238,0.8178350460111454,0.0409929547099841,0.7654320987654321,0.9036676977463542,1.2136363636363638,52.06127958543286,22.46298461090923,45.47755306049747,16.547438513314322
2500858,3766,3771,"December 17, 2017 at 9:00:00 PM GMT+1",France,1,0.8635546902592357,0.10745091132768736,0.6284722222222222,1.0,1.6454545454545455,0.250585121846426,1.05,1.925,0.019949494949494925,0.013047780202075575,0.002706128747795375,0.0443628747795414,0.295935522612017,0.05713897695136915,0.15186622034340663,0.3490841889328109,0.8522564108872714,0.03994765858634845,0.7946253724989357,0.9193002847244345,1.1795454545454547,49.64418438082619,23.061661886656,48.23102099074743,16.75378451332675,0.8567833681470045,0.10316666735399634,0.6527777777777778,1.0,1.6242424242424243,0.2579762744136768,1.1333333333333333,2.0,0.0208754208754208,0.014299601496750433,0.002976190476190433,0.04788359788359783,0.2971709501823343,0.05068670484007587,0.18092696090168428,0.354992047986594,0.8436798202286969,0.052568928440180594,0.7703703703703703,0.9353082318198597,1.1878787878787878,52.30412249217111,21.285306544697857,46.785133337410436,15.722912382013426
2500930,3766,3774,"February 11, 2018 at 9:00:00 PM GMT+1",France,0,0.8516342985594323,0.10546740048741583,0.6204248366013072,1.0,1.6109090909090908,0.24566738073043554,1.04,1.9,0.02181818181818178,0.01402946317423458,0.0032231040564373397,0.04873368606701936,0.295481258885857,0.05937928488111592,0.14498574338398762,0.35653185891873146,0.8323794198143599,0.0413701197578203,0.7736847941231796,0.904795066489225,1.1963636363636365,49.675874827295054,23.43946988956126,46.82908587637537,16.014042850418452,0.8214437078073442,0.08518255704408481,0.6904761904761905,0.9545454545454546,1.5363636363636366,0.20054813311798675,1.15,1.9,0.0257575757575757,0.012783280842012999,0.00956569664902995,0.053520723104056395,0.29683827962042386,0.050545572739304045,0.21387138093873403,0.36332289125844663,0.7796071211009541,0.03668868047526365,0.7220017636684304,0.8364387114387115,1.231818181818182,50.759449351895874,21.917035011669377,46.01753657809808,14.102852459865233
2500898,3766,3767,"January 21, 2018 at 9:00:00 PM GMT+1",France,1,0.8512413314552351,0.10828050591358489,0.6130718954248365,1.0,1.6072727272727274,0.25267614940789535,1.02,1.9,0.022020202020201978,0.014665196320199182,0.0032231040564373397,0.050858024691357986,0.2951430536198932,0.06105106583692051,0.13893825897360132,0.35628347492237633,0.8334570615267763,0.04278990377119481,0.7699810904194758,0.9080402587969173,1.1981818181818182,49.992613742226766,23.06774602521623,47.71287435375636,15.895115972361111,0.8387776365049092,0.1352234236486303,0.5027777777777778,0.9818181818181818,1.589090909090909,0.3131720586989814,0.78,1.9,0.020808080808080758,0.01438069525192382,0.0015079365079364601,0.04943121693121688,0.2934108932795093,0.06629329746353815,0.11616950002543418,0.3501498880682264,0.8611942327429997,0.05185145601842952,0.7840061840424817,0.9504414224706276,1.1690909090909092,49.9568117083475,21.981583788558176,48.84005289672147,15.218084826284004
2500970,3766,3783,"March 11, 2018 at 5:00:00 PM GMT+1",France,1,0.8380482856418686,0.11190682097286402,0.5973856209150327,1.0,1.563636363636364,0.2559287161111218,0.9600000000000002,1.8599999999999999,0.0244444444444444,0.01596722246569612,0.0027513227513227003,0.05566137566137562,0.29362595906148775,0.06806003216483077,0.12359457931559907,0.3642508313659667,0.8104205090540114,0.045023834800870514,0.7447285651669506,0.8911565378666848,1.22,49.71564698584098,23.767479154661753,46.71438565317072,15.533919038076245,0.8361612095569315,0.11880152429885986,0.6186274509803922,1.0,1.5527272727272727,0.21085844992787078,1.12,1.8199999999999998,0.024848484848484804,0.01327676128837354,0.00759523809523808,0.0492592592592592,0.29234901439461264,0.07238233651185898,0.13479833815443226,0.36862662474904573,0.7904453079876881,0.0315370183621287,0.7410263311910599,0.8427451459521347,1.2236363636363634,48.355694747407775,19.747003968515905,44.063496978749754,14.509955064322256
2501058,3766,3775,"May 19, 2018 at 9:00:00 PM GMT+2",France,1,0.841366432141833,0.10595900961467564,0.6112745098039215,1.0,1.5745454545454547,0.25613129327725864,0.9600000000000002,1.8800000000000001,0.023636363636363584,0.01560378095110064,0.0028880070546736802,0.052717813051146346,0.29431600285274684,0.06467148703394812,0.13111682757261459,0.36261835796953507,0.8151429297694058,0.0498159676924264,0.739599254822123,0.8981234496313906,1.2127272727272727,49.36043275606924,24.260179712925613,47.44226978922837,15.359192819582336,0.8603328489692126,0.092367698863838,0.6583333333333334,0.9636363636363636,1.6436363636363638,0.24389118776736746,1.08,1.9600000000000002,0.01979797979797974,0.01241619830970886,0.00221781305114634,0.0437971781305114,0.29736592512872284,0.04947291951415238,0.17351449618460985,0.3442716556044048,0.8511198601211939,0.04331640975195414,0.7844444444444445,0.9216927867037226,1.1781818181818182,51.48200472744611,21.48631594313293,43.078526093866664,15.665650974016165
2501039,3766,3795,"May 6, 2018 at 4:30:00 PM GMT+2",France,1,0.8389868153237137,0.1054862460136791,0.5955882352941176,1.0,1.5672727272727276,0.26746917151254024,0.86,1.8599999999999999,0.02404040404040398,0.01525717133050058,0.003205467372134,0.05051146384479714,0.29391796063113873,0.06653846066663249,0.11697140698326222,0.36209589941538034,0.8135051908928383,0.05295952463451394,0.7336343425414212,0.893722916233403,1.2163636363636363,49.00821198041196,23.39912959755281,48.65166312487436,15.377989468302733,0.8372263216581398,0.10437381413412969,0.6297619047619047,0.9636363636363636,1.5636363636363637,0.24654267420775322,1.0090909090909093,1.8818181818181816,0.02378787878787874,0.01520524152552998,0.00381305114638442,0.05109130992464321,0.29240842092318486,0.0605057328613511,0.1520347441939404,0.3532514063224754,0.8144102164472509,0.04788986241413458,0.744324369169281,0.8962394198877899,1.2196969696969695,50.710739935872645,21.180442068343446,44.50527798104823,14.051849837763081
2500830,3766,3776,"November 29, 2017 at 7:00:00 PM GMT+1",France,0,0.8483081347773158,0.11068717468284114,0.583204334365325,1.0,1.592727272727273,0.28435487400093235,0.8,1.8800000000000001,0.022828282828282784,0.015685646634914542,0.00214726631393296,0.051056918390251685,0.29343944740175,0.06845230061750171,0.1061653500457718,0.3542430845336947,0.8348194450628542,0.05529626970302541,0.7472123464173903,0.9138417617342519,1.2054545454545453,49.38287373195032,22.88260258813484,50.71239546857244,15.752763446669203,0.8652241697696244,0.0929620730818179,0.7133699633699634,1.0,1.6545454545454548,0.23278209577636272,1.2,1.9799999999999998,0.019191919191919156,0.01194207450060412,0.00320546737213398,0.0415044091710758,0.2977299700585715,0.04414773093907444,0.20588284391731468,0.35029310002158864,0.8547035176701356,0.04549325893664982,0.7934623015873016,0.9418367684892683,1.1727272727272726,51.87060738252414,22.264305381055472,47.58540218171724,15.85517020691409
2500771,3766,19830,"October 13, 2017 at 8:45:00 PM GMT+2",France,1,0.8393104924909034,0.10748124240450414,0.5905572755417957,1.0,1.5709090909090908,0.2863414895832145,0.78,1.8799999999999997,0.024040404040404004,0.0166417627006544,0.00214726631393296,0.05433998717332048,0.29349780087497257,0.06818045234483053,0.11345674805079194,0.35851020487746627,0.8253559846183958,0.05700503627280146,0.7348666674050446,0.9040922089614434,1.2163636363636363,49.35088869167264,22.640003789396744,49.8934205500531,15.702734335351593,0.8408299513914488,0.10338821466606926,0.6537581699346405,1.0,1.5745454545454547,0.2301597567757936,1.16,1.94,0.0236363636363636,0.016300285750881122,0.004399470899470841,0.06158465608465604,0.2949151102583965,0.05894337803800522,0.16320313203046216,0.3646105820206449,0.8157743896838214,0.03816112476470441,0.7482154882154882,0.8833617689500043,1.2127272727272727,51.41036417646434,23.31021083300586,46.23486618156653,15.73736604016992
2500791,3766,3777,"October 29, 2017 at 3:00:00 PM GMT+1",France,1,0.8461432319439638,0.10350113726369012,0.6062435500515996,1.0,1.5963636363636364,0.2853230551173053,0.82,1.9,0.02262626262626258,0.015983962589986182,0.00239417989417988,0.05190436107102771,0.2948734057223351,0.062042779600674725,0.13012814986319707,0.35441153486182236,0.8406714123556103,0.053215282557051526,0.752149843998566,0.9166477645169989,1.2036363636363636,49.52865776611604,21.734213691843458,50.14369342518107,15.975721663897895,0.8077009591715474,0.10705155903095172,0.5787581699346406,0.9454545454545455,1.4763636363636365,0.24144596006437644,0.9199999999999999,1.8199999999999998,0.02969696969696966,0.0185931123321104,0.007304232804232741,0.07317548500881829,0.29272736729814774,0.07090416924327587,0.11750194772816011,0.3695042143909418,0.7666622824488807,0.04680220244666858,0.6896041201385237,0.8408653743128189,1.2672727272727273,49.74189428130013,21.23657910746354,45.93182880156557,15.770477301787162
