matchID,team1_ID,team2_ID,date,tournament,winner,avg_avg_closeness_centrality_T1_1H,avg_std_closeness_centrality_T1_1H,avg_min_closeness_centrality_T1_1H,avg_max_closeness_centrality_T1_1H,avg_avg_degree_centrality_T1_1H,avg_std_degree_centrality_T1_1H,avg_min_degree_centrality_T1_1H,avg_max_degree_centrality_T1_1H,avg_avg_betweenness_centrality_T1_1H,avg_std_betweenness_centrality_T1_1H,avg_min_betweenness_centrality_T1_1H,avg_max_betweenness_centrality_T1_1H,avg_avg_eigenvector_centrality_T1_1H,avg_std_eigenvector_centrality_T1_1H,avg_min_eigenvector_centrality_T1_1H,avg_max_eigenvector_centrality_T1_1H,avg_avg_clustering_T1_1H,avg_std_clustering_T1_1H,avg_min_clustering_T1_1H,avg_max_clustering_T1_1H,avg_avg_shortest_path_T1_1H,avg_mean_centroid_y_T1_1H,avg_std_centroid_y_T1_1H,avg_mean_centroid_x_T1_1H,avg_std_centroid_x_T1_1H,avg_avg_closeness_centrality_T1_2H,avg_std_closeness_centrality_T1_2H,avg_min_closeness_centrality_T1_2H,avg_max_closeness_centrality_T1_2H,avg_avg_degree_centrality_T1_2H,avg_std_degree_centrality_T1_2H,avg_min_degree_centrality_T1_2H,avg_max_degree_centrality_T1_2H,avg_avg_betweenness_centrality_T1_2H,avg_std_betweenness_centrality_T1_2H,avg_min_betweenness_centrality_T1_2H,avg_max_betweenness_centrality_T1_2H,avg_avg_eigenvector_centrality_T1_2H,avg_std_eigenvector_centrality_T1_2H,avg_min_eigenvector_centrality_T1_2H,avg_max_eigenvector_centrality_T1_2H,avg_avg_clustering_T1_2H,avg_std_clustering_T1_2H,avg_min_clustering_T1_2H,avg_max_clustering_T1_2H,avg_avg_shortest_path_T1_2H,avg_mean_centroid_y_T1_2H,avg_std_centroid_y_T1_2H,avg_mean_centroid_x_T1_2H,avg_std_centroid_x_T1_2H,avg_avg_closeness_centrality_T2_1H,avg_std_closeness_centrality_T2_1H,avg_min_closeness_centrality_T2_1H,avg_max_closeness_centrality_T2_1H,avg_avg_degree_centrality_T2_1H,avg_std_degree_centrality_T2_1H,avg_min_degree_centrality_T2_1H,avg_max_degree_centrality_T2_1H,avg_avg_betweenness_centrality_T2_1H,avg_std_betweenness_centrality_T2_1H,avg_min_betweenness_centrality_T2_1H,avg_max_betweenness_centrality_T2_1H,avg_avg_eigenvector_centrality_T2_1H,avg_std_eigenvector_centrality_T2_1H,avg_min_eigenvector_centrality_T2_1H,avg_max_eigenvector_centrality_T2_1H,avg_avg_clustering_T2_1H,avg_std_clustering_T2_1H,avg_min_clustering_T2_1H,avg_max_clustering_T2_1H,avg_avg_shortest_path_T2_1H,avg_mean_centroid_y_T2_1H,avg_std_centroid_y_T2_1H,avg_mean_centroid_x_T2_1H,avg_std_centroid_x_T2_1H,avg_avg_closeness_centrality_T2_2H,avg_std_closeness_centrality_T2_2H,avg_min_closeness_centrality_T2_2H,avg_max_closeness_centrality_T2_2H,avg_avg_degree_centrality_T2_2H,avg_std_degree_centrality_T2_2H,avg_min_degree_centrality_T2_2H,avg_max_degree_centrality_T2_2H,avg_avg_betweenness_centrality_T2_2H,avg_std_betweenness_centrality_T2_2H,avg_min_betweenness_centrality_T2_2H,avg_max_betweenness_centrality_T2_2H,avg_avg_eigenvector_centrality_T2_2H,avg_std_eigenvector_centrality_T2_2H,avg_min_eigenvector_centrality_T2_2H,avg_max_eigenvector_centrality_T2_2H,avg_avg_clustering_T2_2H,avg_std_clustering_T2_2H,avg_min_clustering_T2_2H,avg_max_clustering_T2_2H,avg_avg_shortest_path_T2_2H,avg_mean_centroid_y_T2_2H,avg_std_centroid_y_T2_2H,avg_mean_centroid_x_T2_2H,avg_std_centroid_x_T2_2H
2565556,674,714,"August 18, 2017 at 10:15:00 PM GMT+2",Spain,1,0.7412780600579644,0.0833881714676572,0.575657894736842,0.8712121212121213,1.272727272727273,0.2900817812568365,0.7000000000000001,1.7000000000000002,0.04090909090909085,0.0292536856976892,0.0037566137566137,0.0988492063492063,0.2939346695227836,0.06630451379549865,0.1390604543422812,0.38574759317465857,0.6939960688256207,0.0656948804669639,0.5997945205479451,0.8397435897435898,1.3681818181818182,49.253341618112785,24.173876145506625,43.974648511774774,15.69859246335561,0.7304521829922899,0.09434065952501156,0.5213903743315508,0.8333333333333334,1.2363636363636363,0.2887343357291387,0.6500000000000001,1.65,0.0449494949494949,0.03696352176337355,0.0031944444444444,0.12265211640211635,0.28841260615417164,0.08533664120447926,0.09749229532294536,0.3924004343490174,0.6595367325419818,0.0632902987248542,0.5646860514117151,0.7818349404424276,1.4045454545454545,55.64004013248953,22.764130080266355,48.83858858054323,16.1019021304253,0.7329961704961705,0.08625316803949006,0.625,0.9166666666666667,1.2454545454545456,0.27066323319109686,0.75,1.7000000000000002,0.042424242424242406,0.02770511774389125,0.00546296296296295,0.1055555555555555,0.2950580767130939,0.0620459193047086,0.2027230199741614,0.4083293616787179,0.6611637280838967,0.04992708479955865,0.565093479252166,0.7294117647058823,1.3818181818181818,51.148933059870785,22.388547948986844,49.14728379528725,16.60293306988079,0.7186022904605793,0.09702029422347724,0.5902777777777778,0.9090909090909092,1.181818181818182,0.31392919481818266,0.75,1.8,0.04646464646464645,0.045277915650720854,0.0074603174603174,0.1440343915343915,0.2929202455823836,0.07129233388175785,0.18436851244088093,0.41567276902098904,0.6791605114978014,0.10307776063268476,0.5319767441860466,0.855,1.4181818181818182,51.08350010139343,19.101947866441,45.37093122774589,16.401917136869436
2565710,674,682,"December 23, 2017 at 4:15:00 PM GMT+1",Spain,0,0.7494906741318225,0.09658261547038229,0.5504385964912281,0.883838383838384,1.296969696969697,0.3142965653424971,0.6333333333333334,1.7333333333333334,0.04006734006734,0.027912641119653133,0.005008818342151633,0.09826572604350377,0.29194073626563494,0.07400277748666494,0.11403208484825238,0.38423809772029777,0.7056904955561913,0.08529587300029107,0.5294926433282597,0.8484469460079217,1.3606060606060606,49.95156861482612,23.364990547969125,45.34109647680989,15.763957928704016,0.7261950786131209,0.0988604103910124,0.49252111911958457,0.8333333333333334,1.2242424242424244,0.30708149897814724,0.5333333333333333,1.6333333333333335,0.046127946127946066,0.0352769361661276,0.0021296296296296,0.12213844797178126,0.287577068689961,0.0888056565392194,0.0770993878540766,0.3902810810815402,0.6713358344548538,0.0684176841657552,0.5655599317103742,0.8078899602949517,1.4151515151515153,53.5971002506031,21.683221198635806,48.65834103864821,15.936584858754621,0.7278295036967286,0.10559079925457729,0.5284043441938179,0.9545454545454546,1.2227272727272729,0.30725026341292755,0.625,1.75,0.04520202020202015,0.0348586445251787,0.00343253968253965,0.11933481641814969,0.2915337644522542,0.07683571509071317,0.12237402758387135,0.42729583952788525,0.6837581742881502,0.07134328789602737,0.5719064247344311,0.8131202435312024,1.4068181818181817,50.326325620018494,22.46259935572083,44.23243121153014,15.216712002546767,0.7106222420041728,0.1321004854452585,0.39768538994545183,0.8522727272727273,1.190909090909091,0.34270379307145576,0.37500000000000006,1.625,0.0444444444444444,0.0344635705303781,0.0021296296296296003,0.11327290764790758,0.2855463297887929,0.09501268876171992,0.07101110940825532,0.38967123772386913,0.6629017309002947,0.10510581995518785,0.4313495328102949,0.8125,1.3772727272727272,48.70333169839317,21.097819076825623,45.220085926285066,15.96160546380405
2565694,674,692,"December 9, 2017 at 8:45:00 PM GMT+1",Spain,1,0.7466304628385968,0.10090319013847251,0.537828947368421,0.8901515151515152,1.2863636363636366,0.32057767265502946,0.625,1.75,0.04090909090909085,0.027866832807133226,0.004616402116402075,0.09631834215167542,0.2912935785194232,0.0766923669714426,0.1085958135558641,0.3892612658895518,0.7062156623118163,0.08685276542597135,0.5489051967819091,0.8710913070669168,1.3681818181818182,48.97568464782536,23.928535106319885,46.42743200244287,16.867483117095723,0.7079226538270946,0.10232373229923725,0.46143629388514296,0.8275,1.190909090909091,0.31589371688707735,0.5,1.625,0.0459595959595959,0.036732585760935375,0.0015972222222222,0.12627976190476187,0.28588779826957783,0.09404648380075123,0.0649305783484761,0.3961572796689823,0.6630122868238751,0.07279722845827359,0.5241699487827807,0.7886097779135215,1.3909090909090909,53.56385544392823,21.721466101853995,49.212268154292005,16.3321782257951,0.7441636177563563,0.09401466210928838,0.5491056071551428,0.893939393939394,1.2772727272727273,0.2598297446589179,0.775,1.65,0.0411616161616161,0.0281836522253213,0.00581018518518515,0.09227182539682535,0.29314092526729374,0.06980754974103096,0.1271777596562418,0.38636257058948464,0.6803258963797432,0.06760980087820155,0.5707807411005086,0.8066704429339375,1.3704545454545456,49.50372741998894,23.399747723707854,45.707112035193674,16.11729582805713,0.7748094708321981,0.08835491701251177,0.6299603174603174,0.893939393939394,1.3727272727272728,0.2720270608822497,0.875,1.8,0.035353535353535324,0.0287352131479753,0.00543981481481475,0.10378747795414459,0.2940522981752218,0.0646800032523146,0.17690515327374476,0.3766146145751805,0.7340480746179661,0.06372958456934055,0.6476870500707427,0.8466710967036318,1.3181818181818181,51.92893560748431,19.330028277317588,46.94115433897728,15.807854688074247
2565771,674,695,"February 11, 2018 at 8:45:00 PM GMT+1",Spain,1,0.7408895729469892,0.0969543564595707,0.5552631578947368,0.8939393939393939,1.2654545454545456,0.3141876212745237,0.6200000000000001,1.72,0.04181818181818176,0.02915364616291078,0.0046931216931216605,0.10312874779541441,0.2917256964795496,0.0752012644534983,0.12260126823771053,0.39488374178316665,0.6927697485347335,0.08001847536143654,0.5508888633078802,0.8379689360644924,1.3763636363636365,47.712656249800865,23.55551388819923,46.89248695152201,16.685924977247243,0.7134077201312727,0.09583977094094111,0.49414903510811437,0.8286666666666667,1.2036363636363636,0.3019739450883676,0.56,1.6400000000000001,0.045050505050505,0.032824121759885,0.00418783068783066,0.11563756613756611,0.287769451697039,0.08741803210866478,0.08812533629260154,0.3909948752591922,0.6566961850749502,0.06417398386314428,0.537854477544743,0.7718714288881943,1.3872727272727272,53.81201574698307,21.612320303990657,48.712951083842896,16.141194742700755,0.6800247064284497,0.1594023763001199,0.25,0.8712121212121213,1.1363636363636367,0.32156526080208314,0.4,1.5,0.0459595959595959,0.03485510698488045,0.0011111111111111,0.1131018518518518,0.28283485049694557,0.1033198379752297,0.04453236674172522,0.41145127089485334,0.6751102515817384,0.09303933857380345,0.5362749112749112,0.8664383561643836,1.3681818181818182,51.80269063216856,21.54466586045229,45.20117665735624,15.269995551323474,0.7423407326482193,0.11308854441343086,0.5718954248366013,0.9166666666666667,1.2636363636363637,0.30179180563714914,0.75,1.7000000000000002,0.04242424242424235,0.03071493699756215,0.0042592592592592005,0.10633718133718134,0.2887212978963188,0.08677390353372935,0.12736853659764835,0.3939838471890489,0.6801251234742762,0.06603411377599966,0.5543103448275862,0.7826340326340326,1.3818181818181818,51.25242566923101,23.305349083916155,42.69093960646113,15.722289014949695
2565795,674,687,"February 25, 2018 at 6:30:00 PM GMT+1",Spain,1,0.7425067356885539,0.10050742025736578,0.5409090909090909,0.8939393939393939,1.272727272727273,0.3256255514016848,0.56,1.7400000000000002,0.04181818181818176,0.029492444511872256,0.0046931216931216605,0.10823985890652554,0.29113258267852027,0.07729901389718508,0.11181478543948846,0.3912158757345735,0.6934639705841833,0.08270266683019369,0.5328888633078803,0.8290121394364629,1.3763636363636365,47.52739256459421,23.674648128504778,47.75921941233778,17.515608867699903,0.7068659553007379,0.10126456683568925,0.4765019762845849,0.8438181818181818,1.181818181818182,0.30841033478648266,0.52,1.6400000000000001,0.04666666666666662,0.034307875737132634,0.0039100529100529,0.1219153439153439,0.2870571197005202,0.09030037273163057,0.07866284107333456,0.4010538433240406,0.6546405079956451,0.07374989424163604,0.5293527991803854,0.8079179405161012,1.4018181818181819,52.7176451887557,22.220653583655086,48.29724160554387,16.30947064983326,0.7516432023116516,0.08893739463243966,0.6047385620915032,0.9090909090909092,1.3163636363636364,0.2928680149085961,0.76,1.8,0.03898989898989894,0.03574841056513756,0.00501058201058198,0.13455026455026448,0.29440944133176294,0.06413684216813555,0.16636934635428796,0.39043927567998005,0.7078760626604981,0.0943635040481276,0.49130693912303103,0.8310832529733204,1.350909090909091,48.39097240885762,25.167376593507807,42.49170016421044,15.858909608895342,0.7629963916060174,0.09726980752427586,0.5973856209150327,0.9303030303030303,1.341818181818182,0.27021093608950236,0.8200000000000001,1.7399999999999998,0.037777777777777743,0.025961907589756677,0.005371332371332339,0.08761584094917424,0.2931522051196998,0.06888896185891417,0.15618238895536785,0.391285670825316,0.7172248674174629,0.0696621447062156,0.6347014422234165,0.8561968174606991,1.34,50.495903230309956,22.42206484670367,47.54648119259426,16.794532675825586
2565749,674,675,"January 27, 2018 at 4:15:00 PM GMT+1",Spain,0,0.740750158931977,0.10660783990518954,0.5409090909090909,0.9121212121212121,1.2654545454545456,0.3327800296588638,0.52,1.7399999999999998,0.04242424242424238,0.0298349101132403,0.004116402116402081,0.1079038800705467,0.2906375476133224,0.0796645210721709,0.10994447512438107,0.3981609168868839,0.697279708927956,0.08404925786169573,0.53874883286648,0.8290121394364629,1.381818181818182,46.88948396306917,22.931328027863206,48.291965274141816,17.752606961909393,0.7151730522441986,0.10506754506107978,0.4855928853754941,0.8589696969696969,1.2036363636363638,0.31520673875878447,0.48,1.6800000000000002,0.044848484848484804,0.03121059128956462,0.00335449735449734,0.11158201058201056,0.28747528423491897,0.08914588947138706,0.08226095356003495,0.39513734939532913,0.6746178180757583,0.07062204279763368,0.5586440505646599,0.8191374527112233,1.3854545454545453,53.18018602736372,21.281643012220634,49.3112821170745,16.296194243679455,0.8095726278599906,0.10470074350784286,0.583204334365325,0.9454545454545455,1.4763636363636363,0.32678319832496655,0.72,1.8399999999999999,0.02909090909090904,0.02439069504114366,0.0021322751322751,0.08488624338624334,0.2926849480436741,0.07121344040596542,0.1158297960995504,0.36475367855769314,0.8119869686381291,0.06883219009815231,0.6984331896551724,0.9384364002011061,1.261818181818182,51.483223916194184,22.53447637456295,47.76534895104358,16.372879096707106,0.7813487018032472,0.09697538029748079,0.5694444444444444,0.9151515151515153,1.4,0.2853002721742507,0.8,1.8,0.03434343434343428,0.023882096470510462,0.00452910052910048,0.08420370370370366,0.2932962807322482,0.06836386926252389,0.12511964439532322,0.37281846410113123,0.7534070484751132,0.06420321793369742,0.660819587500622,0.8862448583036817,1.309090909090909,47.380933602556794,22.600708154713203,48.447243760954656,16.73252176995774
2565722,674,756,"January 6, 2018 at 4:15:00 PM GMT+1",Spain,1,0.7339725930635022,0.10509083092808313,0.5520202020202021,0.9121212121212121,1.2400000000000002,0.3272860353727757,0.5400000000000001,1.7400000000000002,0.0436363636363636,0.03474014868030302,0.0031693121693121204,0.11956878306878305,0.29040738903170193,0.08038966977587254,0.12460025581374026,0.4047284918202304,0.6919946193499045,0.07710107247543924,0.5720055378473228,0.8387682369974385,1.3927272727272728,46.16357653223785,23.281300678066952,48.86018286140388,18.50119772596337,0.7209657392049736,0.10592683149672799,0.5038995215311004,0.8741212121212122,1.2181818181818183,0.31784849699472195,0.5,1.7399999999999998,0.0434343434343434,0.034785076165468866,0.00335449735449734,0.1238253968253968,0.28815240868746866,0.08699062349035418,0.0934509125528705,0.39983305718436846,0.684892616425546,0.07492884121106348,0.5575281911154673,0.8471374527112232,1.3727272727272726,53.43077786889694,22.481740636782654,50.045932695263254,16.372113694226265,0.6815983848843404,0.08249777004203596,0.5616123642439431,0.8118548118548119,1.0981818181818181,0.24205358525802909,0.6200000000000001,1.48,0.05555555555555548,0.036412545696885686,0.0069894179894179394,0.12577777777777774,0.2877081127447662,0.0829861556477266,0.14612578499249507,0.4035135130104249,0.5730704860505649,0.06693113127223982,0.45656381655187916,0.6950305346371436,1.5000000000000002,49.78606700721325,25.838286593732015,46.61648362833733,16.731617997823683,0.7248632383659122,0.0837981250827619,0.6102941176470589,0.8818181818181818,1.2145454545454546,0.26333557493952936,0.7200000000000001,1.6800000000000002,0.0442424242424242,0.0306504998449539,0.00996127946127942,0.11106998556998553,0.2935728407403909,0.06789052974501845,0.17507479463870307,0.39900999734752596,0.6449737559746906,0.07363323961292598,0.5240675273621009,0.7784767801857585,1.3981818181818182,49.716807769340505,24.47910561565512,43.030840401345145,14.904407873299434
2565835,674,696,"March 17, 2018 at 4:15:00 PM GMT+1",Spain,1,0.7453912991346147,0.10331691338151335,0.5696672608437314,0.9121212121212121,1.2763636363636368,0.32337497131155646,0.5400000000000001,1.7400000000000002,0.04121212121212118,0.033899823175193425,0.0031296296296295803,0.11764285714285712,0.2910105567275953,0.07817525307149151,0.13117827207171087,0.39757092345914924,0.7043900881735368,0.07251564239982558,0.5787019664187514,0.8312912278011171,1.3709090909090906,46.35649823240148,22.016295143524797,49.29582049796087,18.004045627173248,0.7377787948362111,0.11027313307368818,0.541374269005848,0.9121212121212121,1.2400000000000002,0.3307346313126652,0.5000000000000001,1.8,0.0432323232323232,0.03825714650413374,0.00335449735449734,0.13726984126984126,0.28886547914382704,0.08507087110986847,0.10646703381909176,0.4004836263524606,0.7075638858654683,0.08351981608963217,0.5799973269179364,0.9009836065573771,1.3890909090909092,53.26883858586801,22.49887808391399,50.758943751152216,17.002144327261938,0.6107924914313881,0.14664556384362845,0.28708133971291866,0.7934065934065935,0.9236363636363636,0.30788189425265694,0.4,1.46,0.06181818181818174,0.05617291624792302,0.00155555555555554,0.17711111111111105,0.2790310488743007,0.10960576907044124,0.05658546727768343,0.43168126142805113,0.5197105609794326,0.11639164964930186,0.3043827160493827,0.6961327561327562,1.501818181818182,49.173396588088394,22.436696219079714,40.98952706548541,15.457058649761766,0.6358896748454869,0.14560199660843864,0.29288515406162463,0.8251748251748252,0.9636363636363638,0.3223260391138071,0.34,1.4600000000000002,0.06101010101010098,0.046845214147599394,0.00418518518518516,0.15154497354497357,0.27704265258432326,0.11576980006387613,0.05451686792549163,0.43294809859409267,0.5566814454292153,0.12644589282392066,0.32643467643467644,0.8067619047619047,1.512727272727273,48.93739943157196,21.21065583179102,43.76312847994174,17.220045915180016
2565811,674,684,"March 4, 2018 at 8:45:00 PM GMT+1",Spain,1,0.7500477537910692,0.10609472600128526,0.5557783719548426,0.9121212121212121,1.2945454545454547,0.31964673326984716,0.5600000000000002,1.78,0.04040404040404038,0.03276722179839082,0.0030555555555554998,0.11334656084656083,0.29031723263178844,0.0808400752732851,0.1197810337118957,0.396759536614881,0.710434321195345,0.0735896313779417,0.5879898921153458,0.8440414912363121,1.3636363636363638,46.98348828281368,22.44458217143349,49.05922967153595,18.443960457943046,0.7448185465283692,0.11503826830255812,0.5340213278293774,0.9272727272727274,1.261818181818182,0.33821924713151297,0.4600000000000001,1.8,0.04202020202020198,0.03843267867069504,0.00113227513227512,0.13508465608465606,0.28870115504126764,0.08584207949044416,0.09568530159745395,0.3981362724806994,0.7263262976386285,0.08790822237573385,0.5905485758412784,0.9239344262295083,1.3781818181818182,53.598357481604396,22.496003425837078,50.416567088833276,17.25517989596453,0.7913548572639482,0.08711194902701608,0.6511904761904763,0.9303030303030304,1.4363636363636365,0.28143157250261797,0.8800000000000001,1.8200000000000003,0.03131313131313128,0.0217608729014334,0.00403527336860666,0.07795061728395056,0.2969434112058206,0.05194167119294936,0.19911471674099757,0.3685037697256495,0.7626504295055392,0.06064857602253102,0.6664389256437673,0.8609032220706695,1.2818181818181817,48.03122368321873,22.838114291896087,46.717355211010826,14.600348743151823,0.7462858565053281,0.09576042731917164,0.5838863463005339,0.9151515151515153,1.2945454545454544,0.2901241174788071,0.6599999999999999,1.78,0.04080808080808076,0.028644305996329562,0.00728042328042324,0.10726455026455022,0.29356443088606476,0.06759913554848222,0.15596636988907525,0.3965856051324344,0.697218772746256,0.06651999826037298,0.5479100234828822,0.7863445533228208,1.3672727272727274,51.80619588042737,22.131475246968584,44.963205616655515,14.327692272177723
2565924,674,677,"May 20, 2018 at 12:00:00 PM GMT+2",Spain,1,0.7499289332177034,0.11197862394002725,0.5648692810457516,0.9454545454545455,1.2872727272727276,0.31339855200432937,0.64,1.8199999999999998,0.040606060606060576,0.03381782713295978,0.00387037037037032,0.11610493827160491,0.2902222346544026,0.08115122917585707,0.1304657135965558,0.40885838248947115,0.7088396555317529,0.07513487185642728,0.6015701390289261,0.8587675186335723,1.3654545454545453,47.49685303232742,22.002417126788554,48.55353748734019,17.822046449895915,0.7442171277451323,0.11741077343205131,0.5451324389404885,0.9454545454545455,1.2581818181818183,0.32428361335932426,0.54,1.78,0.042222222222222175,0.035781474693317175,0.00409523809523808,0.12737566137566134,0.28776154751073096,0.08894755810854824,0.10076374125509382,0.4020606768645343,0.7146273545048019,0.08223935405683246,0.5751904856556019,0.8814686728048506,1.38,53.65745711000672,21.985148046142562,49.6366010666944,17.481951717679994,0.674089023526119,0.12130897600795856,0.3906166932482722,0.841025641025641,1.0654545454545457,0.3052856353607468,0.4600000000000001,1.5799999999999998,0.05373737373737368,0.04436245319997002,0.0045185185185185,0.15028571428571424,0.28477259141158295,0.0974853150983354,0.07397816654552411,0.4212032583581494,0.6228179255611659,0.10203250591291249,0.4789356351425317,0.8367155870445344,1.4654545454545453,46.9772600137299,24.5437234746319,45.149619133798,16.342884137300974,0.7315261087225624,0.0987608841870619,0.5403705341785837,0.876969696969697,1.2545454545454546,0.31739742710356894,0.4800000000000001,1.6800000000000002,0.04060606060606056,0.027131580367993603,0.0032433862433862205,0.10041269841269837,0.2899176985894483,0.0823630689808004,0.09527037311856328,0.38864711951828124,0.6982146979685677,0.06548703492955157,0.6064087713357947,0.824867394970564,1.3472727272727274,49.023870737043545,19.988425245041533,47.74395977639335,16.32154092317405
