matchID,team1_ID,team2_ID,date,tournament,winner,avg_gk_saves_T1,avg_red_card_T1,avg_yellow_card_T1,avg_assists_T1,avg_shots_T1,avg_shots_against_T1,avg_shots_on_target_T1,avg_passes_T1,avg_goals_T1,avg_goals_against_T1,avg_ball_possession_T1,avg_pass_acc_T1,avg_gk_acc_T1,avg_shot_acc_T1,avg_gk_saves_T2,avg_red_card_T2,avg_yellow_card_T2,avg_assists_T2,avg_shots_T2,avg_shots_against_T2,avg_shots_on_target_T2,avg_passes_T2,avg_goals_T2,avg_goals_against_T2,avg_ball_possession_T2,avg_pass_acc_T2,avg_gk_acc_T2,avg_shot_acc_T2
2500887,3799,3795,"January 17, 2018 at 7:00:00 PM GMT+1",France,1,3.0,0.0,1.6666666666666667,0.0,17.0,11.666666666666666,5.333333333333333,280.0,0.6666666666666666,2.0,0.4062965783767425,0.7797456596602581,0.6388888888888888,0.26682769726247985,4.0,0.2,1.8,0.4,7.4,14.4,2.2,265.8,1.0,2.4,0.3904613629464842,0.7926397822203978,0.5255555555555556,0.3166666666666667
2500906,3799,3789,"January 27, 2018 at 8:00:00 PM GMT+1",France,1,2.75,0.0,1.25,0.75,15.5,10.75,5.25,276.75,1.25,1.75,0.4178580270028958,0.7817118996124502,0.6458333333333333,0.3137571365832235,4.6,0.0,2.0,0.2,9.8,20.4,2.8,271.8,0.6,1.4,0.4065699552538479,0.7851930830057006,0.7664285714285713,0.29079365079365077
2500977,3799,3783,"March 17, 2018 at 8:00:00 PM GMT+1",France,1,2.4,0.0,1.2,0.6,15.4,9.2,5.6,270.2,1.2,1.4,0.41441778449230027,0.776922314721016,0.7166666666666666,0.3443390425999121,3.0,0.0,2.6,0.2,10.0,13.4,2.2,279.4,0.6,1.4,0.4394429238561875,0.7644678282883268,0.67,0.2172649572649572
2500957,3799,3785,"March 3, 2018 at 8:00:00 PM GMT+1",France,1,2.2,0.0,0.8,1.0,13.2,7.8,4.8,268.0,1.4,1.2,0.40180703969815523,0.78199036435838,0.7666666666666666,0.3653535353535354,3.6,0.2,2.8,0.4,9.2,13.2,3.8,364.0,1.0,1.0,0.5014048545809453,0.840089354353107,0.8333333333333334,0.41439393939393937
2500827,3799,3774,"November 29, 2017 at 7:00:00 PM GMT+1",France,0,2.0,0.0,0.8,1.4,14.0,8.0,5.8,244.4,2.0,0.4,0.3836197069471604,0.7788098502018955,0.8666666666666666,0.43106782106782104,3.2,0.2,1.2,0.8,10.4,11.8,3.4,287.4,1.6,0.8,0.4561545745154413,0.7969209922001431,0.82,0.3622222222222222
2500796,3799,3767,"November 4, 2017 at 5:00:00 PM GMT+1",France,0,1.8,0.0,0.6,1.6,12.4,7.4,5.8,253.4,2.2,0.6,0.38846332799499905,0.7819884897441713,0.8,0.4666233766233766,2.8,0.2,2.2,1.2,17.0,10.8,6.4,569.8,1.6,0.8,0.6884545349687214,0.892757918160956,0.7928571428571429,0.362156862745098
2500777,3799,3780,"October 21, 2017 at 8:00:00 PM GMT+2",France,0,1.8,0.0,0.8,1.0,12.0,8.6,5.4,257.4,1.6,1.4,0.3575602532110435,0.794792775345915,0.7238095238095237,0.44238095238095243,3.0,0.2,3.2,0.6,11.6,12.4,4.2,242.0,1.0,2.6,0.4498034517723686,0.765803053388461,0.539047619047619,0.3508771929824561
2500737,3799,3777,"September 17, 2017 at 5:00:00 PM GMT+2",France,0,1.6,0.0,1.0,1.0,11.6,8.6,4.8,264.8,1.4,1.6,0.37093970562888023,0.7947224600992258,0.5238095238095237,0.41058608058608054,3.4,0.2,1.6,0.4,7.8,14.0,2.6,308.4,0.4,3.0,0.4006756600003252,0.8232334112115762,0.5100432900432901,0.45666666666666667
2500720,3804,3787,"August 26, 2017 at 8:00:00 PM GMT+2",France,1,5.0,0.0,0.5,0.5,14.5,17.5,4.0,289.0,1.5,4.5,0.4142177028898345,0.8142531438422002,0.47435897435897434,0.2738095238095237,4.0,0.0,1.6666666666666667,0.6666666666666666,7.333333333333333,11.0,2.6666666666666665,336.0,1.0,1.0,0.4918920049354832,0.8275028748511266,0.7944444444444444,0.39935064935064934
2500837,3804,3772,"December 1, 2017 at 8:45:00 PM GMT+1",France,1,3.6666666666666665,0.0,1.0,0.6666666666666666,11.666666666666666,15.333333333333334,3.3333333333333335,299.6666666666667,1.6666666666666667,3.3333333333333335,0.43777655519946673,0.8151000602713904,0.4829059829059829,0.2936507936507936,5.0,0.0,2.0,1.5,9.5,17.0,4.0,356.5,2.0,1.5,0.5202374189045706,0.818941056095863,0.7619047619047619,0.45238095238095233
2500857,3804,3776,"December 16, 2017 at 8:00:00 PM GMT+1",France,1,3.75,0.0,1.25,1.25,12.5,15.0,3.75,311.75,2.0,3.0,0.46035062580779423,0.8204596605881582,0.5288461538461539,0.30357142857142855,4.333333333333333,0.6666666666666666,2.0,0.3333333333333333,10.666666666666666,17.666666666666668,2.3333333333333335,279.0,0.6666666666666666,3.3333333333333335,0.40647990993398886,0.8283568320735034,0.5703703703703703,0.2099567099567099
2500928,3804,3775,"February 10, 2018 at 8:00:00 PM GMT+1",France,1,4.0,0.0,1.2,1.2,12.4,13.8,4.4,324.8,2.2,2.4,0.45967444004017477,0.8246712998990979,0.6230769230769231,0.35952380952380947,3.25,0.0,2.0,0.75,10.5,13.0,4.0,569.25,1.0,1.25,0.6416977416881045,0.890044794728042,0.75,0.3765151515151515
2500947,3804,3783,"February 24, 2018 at 8:00:00 PM GMT+1",France,1,3.0,0.0,1.4,1.4,11.6,12.8,4.0,324.6,2.4,1.8,0.4661823513641135,0.8231417439773503,0.6199999999999999,0.3474025974025974,2.6,0.0,1.6,0.4,9.8,12.4,3.2,246.2,0.6,1.8,0.42299160724825846,0.7624532140165659,0.575,0.31287878787878787
2500908,3804,3774,"January 26, 2018 at 8:45:00 PM GMT+1",France,1,3.0,0.0,1.6,1.2,11.4,12.2,4.2,319.8,2.6,1.0,0.4684285179617099,0.8150916998433365,0.7533333333333333,0.3660839160839161,3.75,0.0,1.75,0.75,11.75,12.5,5.0,289.25,1.75,1.5,0.46131681055848195,0.8002155598970877,0.6979166666666666,0.3862637362637362
2500987,3804,3771,"March 31, 2018 at 5:00:00 PM GMT+2",France,0,3.4,0.0,1.8,1.4,12.8,12.0,4.6,333.4,2.6,1.0,0.4777338190034282,0.8234768505772058,0.8033333333333333,0.36095571095571094,2.8,0.0,3.0,1.0,16.6,8.8,5.6,387.6,1.4,1.2,0.5817786212917367,0.8395151912127222,0.75,0.3334267040149393
2501038,3804,3785,"May 6, 2018 at 5:00:00 PM GMT+2",France,1,3.0,0.2,1.8,1.0,12.2,11.0,4.0,311.8,2.2,1.2,0.4532003325579539,0.8130319033675526,0.75,0.32762237762237756,3.6,0.0,2.2,0.2,9.2,14.6,3.6,323.2,0.8,2.0,0.5010721106964773,0.814811643490215,0.6761904761904762,0.3962121212121212
2500809,3804,3795,"November 18, 2017 at 8:00:00 PM GMT+1",France,1,2.0,0.2,1.8,1.0,13.4,9.8,4.4,297.2,2.2,1.4,0.46197113780981347,0.8030616652723145,0.55,0.31095571095571095,3.2,0.4,2.6,0.2,7.2,14.8,1.2,315.2,0.2,2.0,0.42806685284787144,0.8206784155140632,0.5883333333333333,0.11666666666666665
2500817,3804,3780,"November 25, 2017 at 8:00:00 PM GMT+1",France,1,2.0,0.2,1.6,1.2,14.2,8.8,5.4,337.0,2.2,1.2,0.4984636831857858,0.8149246428744226,0.58,0.3630769230769231,2.6,0.2,3.0,0.2,10.6,12.8,3.8,215.0,0.8,1.8,0.3674354044800988,0.7769247201832046,0.659047619047619,0.32865497076023387
2500768,3804,3767,"October 14, 2017 at 5:00:00 PM GMT+2",France,0,2.0,0.2,2.0,1.6,14.0,8.4,5.6,338.0,2.4,1.4,0.5069894064996991,0.8113920962432843,0.5133333333333333,0.3848717948717949,2.8,0.2,2.4,2.0,16.2,10.2,7.2,590.0,2.4,0.8,0.6868738265344304,0.898158996691458,0.7928571428571429,0.4288235294117647
2500788,3804,3770,"October 28, 2017 at 8:00:00 PM GMT+2",France,1,2.6,0.2,2.0,1.2,13.8,9.8,5.8,302.4,2.2,1.6,0.4620424627965602,0.7936627654236069,0.5133333333333333,0.4066666666666666,3.6,0.2,3.0,1.0,11.2,13.8,3.4,265.2,1.6,1.8,0.43578054516254844,0.7686307328855623,0.5342857142857144,0.28623376623376623
2500738,3804,3782,"September 16, 2017 at 8:00:00 PM GMT+2",France,0,2.2,0.0,2.2,1.2,12.6,10.4,5.6,317.0,2.2,1.0,0.4837528431276302,0.7969023221158491,0.4333333333333333,0.4066666666666666,3.0,0.2,1.6,0.2,10.4,11.8,3.4,341.0,0.4,2.0,0.5076613880216279,0.8243450991359473,0.5828571428571429,0.3402014652014652
2500691,19830,3780,"August 4, 2017 at 8:45:00 PM GMT+2",France,1,3.0,0.0,3.0,2.0,9.5,9.5,5.0,377.0,4.0,1.0,0.5655270305008214,0.8525310241089709,0.75,0.55,4.666666666666667,0.0,2.0,0.6666666666666666,9.333333333333334,16.666666666666668,3.0,234.0,1.0,3.3333333333333335,0.3421546528817497,0.7707325691821816,0.5666666666666667,0.3082251082251082
2500839,19830,3799,"December 2, 2017 at 8:00:00 PM GMT+1",France,1,2.6666666666666665,0.0,2.3333333333333335,2.3333333333333335,11.333333333333334,8.0,5.333333333333333,381.3333333333333,3.6666666666666665,1.3333333333333333,0.6344437629081384,0.8467266070790712,0.6666666666666666,0.5,3.6666666666666665,0.0,2.0,0.3333333333333333,8.666666666666666,10.666666666666666,2.0,386.6666666666667,0.6666666666666666,1.0,0.5567590562871912,0.8273580925780455,0.8333333333333334,0.15384615384615383
2500852,19830,3795,"December 9, 2017 at 8:00:00 PM GMT+1",France,1,2.2,0.0,2.6,1.8,10.0,7.4,4.4,398.8,2.8,1.0,0.6319493674800052,0.8439824633668678,0.7,0.45272727272727276,5.4,0.0,1.4,0.8,7.6,16.2,3.2,271.0,1.0,2.4,0.3642093398951457,0.7910127602374185,0.7005555555555556,0.4211111111111111
2500941,19830,3804,"February 16, 2018 at 8:45:00 PM GMT+1",France,1,1.8,0.0,2.6,2.0,12.6,6.6,5.2,400.0,3.0,1.2,0.6404407552271182,0.8475429138133809,0.6166666666666667,0.4105050505050505,5.2,0.4,1.0,0.0,10.0,17.2,2.4,293.2,0.6,2.4,0.4694648454816555,0.8070403437728573,0.6636363636363637,0.24175324675324675
2500920,19830,3766,"February 4, 2018 at 9:00:00 PM GMT+1",France,1,2.0,0.0,2.6,1.8,12.8,6.0,4.8,400.8,2.6,1.0,0.6405102536729379,0.8369856139703667,0.6666666666666666,0.37717171717171716,4.2,0.0,2.0,1.8,13.0,14.4,6.0,386.0,2.6,0.8,0.5542283996253126,0.8382474276610639,0.82,0.44978354978354973
2500899,19830,3777,"January 21, 2018 at 5:00:00 PM GMT+1",France,1,2.0,0.2,3.0,1.2,12.2,7.4,4.8,356.8,2.6,1.0,0.5368769306993849,0.8165137835044434,0.6666666666666666,0.3971717171717172,4.6,0.0,1.6,1.0,11.4,14.0,4.8,284.2,1.4,2.4,0.42494911009173564,0.7898105893336623,0.6761111111111111,0.4391452991452992
2500981,19830,3776,"March 16, 2018 at 8:45:00 PM GMT+1",France,1,2.0,0.2,2.6,1.4,13.8,7.0,5.8,347.4,3.0,1.2,0.5443212847851052,0.8166952767752313,0.6,0.4248640248640248,4.2,0.4,1.8,0.2,9.4,13.0,3.2,402.0,0.4,2.0,0.5453949548166082,0.8533866997484904,0.6383333333333334,0.3311327561327561
2500961,19830,3772,"March 2, 2018 at 7:45:00 PM GMT+1",France,1,2.6,0.2,2.4,1.6,13.4,7.8,5.8,346.6,3.0,1.2,0.5101206392413333,0.8182888534354624,0.6599999999999999,0.44102564102564096,3.2,0.0,2.0,0.6,8.0,9.0,2.6,247.8,0.8,0.4,0.36361608343978713,0.7828083311162632,0.7083333333333334,0.330952380952381
2501051,19830,3782,"May 12, 2018 at 8:00:00 PM GMT+2",France,1,2.4,0.2,1.6,1.6,13.4,8.0,5.4,321.0,2.8,1.0,0.46814566976636396,0.807957640023556,0.5933333333333333,0.41880341880341876,3.8,0.4,2.0,0.4,8.4,15.2,4.0,358.4,0.8,1.2,0.4946832197329794,0.8091455041232241,0.5928571428571429,0.5492857142857142
2500820,19830,3767,"November 26, 2017 at 9:00:00 PM GMT+1",France,0,2.2,0.4,1.4,1.2,14.0,9.2,5.4,326.8,2.2,1.0,0.47479033713157365,0.8099138253412848,0.5933333333333334,0.4076923076923077,3.2,0.2,1.6,1.0,17.4,11.2,7.2,582.4,1.8,0.6,0.6935374271256577,0.8995929736527277,0.8928571428571429,0.39807017543859646
2500799,19830,3785,"November 4, 2017 at 8:00:00 PM GMT+1",France,1,2.4,0.2,1.4,1.2,13.2,10.2,4.6,341.4,1.8,1.0,0.485721708842656,0.8186336666985614,0.6133333333333333,0.35769230769230764,5.0,0.0,2.0,0.2,7.8,17.2,2.6,315.4,0.4,2.2,0.4632985325972555,0.8063800049934503,0.6845238095238095,0.32121212121212117
2500780,19830,3783,"October 21, 2017 at 5:00:00 PM GMT+2",France,1,2.6,0.2,1.4,1.8,14.0,11.4,5.0,327.8,2.4,0.8,0.4552763266303293,0.8213951831479601,0.6799999999999999,0.3558823529411765,4.4,0.2,1.0,0.2,9.0,18.8,2.6,261.8,0.4,3.0,0.36527318102517675,0.7827316993809711,0.5984737484737485,0.28504273504273503
2500740,19830,3779,"September 16, 2017 at 5:00:00 PM GMT+2",France,1,2.0,0.2,1.6,1.6,15.0,10.6,5.4,302.0,2.4,0.6,0.4591451184433888,0.8060743084196715,0.72,0.35270774976657326,3.2,0.4,1.0,0.6,10.0,11.0,2.6,367.6,0.6,1.8,0.5307652744244561,0.8421555100646765,0.5311111111111111,0.259047619047619
