matchID,team1_ID,team2_ID,date,tournament,gk_saves_T2,red_card_T2,yellow_card_T2,assists_T2,shots_T2,shots_against_T2,shots_on_target_T2,passes_T2,goals_T2,goals_against_T2,ball_possession_T2,pass_acc_T2,gk_acc_T2,shot_acc_T2
2501035,3795,3783,"April 28, 2018 at 8:00:00 PM GMT+2",France,1.0,0.0,2.0,1.0,12,6,2.0,403,1.0,3.0,0.591776798825257,0.8191056910569106,0.25,0.16666666666666666
2501029,3766,3770,"April 28, 2018 at 5:00:00 PM GMT+2",France,9.0,0.0,1.0,0.0,12,25,4.0,281,0.0,2.0,0.36025641025641025,0.7915492957746478,0.8181818181818182,0.3333333333333333
2501031,3787,3782,"April 27, 2018 at 8:45:00 PM GMT+2",France,5.0,0.0,2.0,1.0,7,23,5.0,295,1.0,0.0,0.39544235924932974,0.8016304347826086,1.0,0.7142857142857143
2501017,3772,3767,"April 22, 2018 at 9:00:00 PM GMT+2",France,8.0,0.0,1.0,0.0,10,21,2.0,523,1.0,0.0,0.6545682102628285,0.9079861111111112,1.0,0.2
2501024,3782,3795,"April 22, 2018 at 5:00:00 PM GMT+2",France,4.0,0.0,2.0,1.0,6,16,3.0,220,1.0,2.0,0.3013698630136986,0.7801418439716312,0.6666666666666666,0.5
2501023,3775,3787,"April 22, 2018 at 3:00:00 PM GMT+2",France,4.0,0.0,0.0,0.0,4,15,1.0,334,0.0,1.0,0.4033816425120773,0.8370927318295739,0.8,0.25
2501016,3789,3779,"April 21, 2018 at 8:00:00 PM GMT+2",France,3.0,0.0,2.0,1.0,16,7,2.0,293,1.0,3.0,0.6194503171247357,0.8161559888579387,0.5,0.125
2501019,3785,19830,"April 21, 2018 at 8:00:00 PM GMT+2",France,10.0,1.0,2.0,1.0,3,23,1.0,212,1.0,3.0,0.30903790087463556,0.7491166077738516,0.7692307692307693,0.3333333333333333
2501025,3780,3799,"April 21, 2018 at 8:00:00 PM GMT+2",France,6.0,0.0,2.0,0.0,7,14,0.0,430,0.0,2.0,0.6213872832369942,0.8333333333333334,0.75,0.0
2501020,3771,3776,"April 21, 2018 at 5:00:00 PM GMT+2",France,4.0,0.0,1.0,0.0,14,19,3.0,303,1.0,5.0,0.34549600912200684,0.8583569405099151,0.4444444444444444,0.21428571428571427
2501018,3804,3766,"April 20, 2018 at 9:00:00 PM GMT+2",France,3.0,0.0,2.0,2.0,20,15,11.0,498,5.0,2.0,0.6392811296534018,0.9021739130434783,0.6,0.55
2501012,3767,19830,"April 15, 2018 at 9:00:00 PM GMT+2",France,1.0,0.0,3.0,1.0,12,12,2.0,301,1.0,7.0,0.3934640522875817,0.8624641833810889,0.125,0.16666666666666666
2501015,3795,3771,"April 15, 2018 at 5:00:00 PM GMT+2",France,5.0,0.0,2.0,3.0,21,12,8.0,465,3.0,2.0,0.695067264573991,0.8740601503759399,0.7142857142857143,0.38095238095238093
2501010,3787,3772,"April 15, 2018 at 3:00:00 PM GMT+2",France,6.0,0.0,2.0,3.0,7,20,4.0,359,3.0,1.0,0.5049226441631505,0.8387850467289719,0.8571428571428571,0.5714285714285714
2501013,3774,3777,"April 14, 2018 at 8:00:00 PM GMT+2",France,2.0,0.0,4.0,2.0,6,13,5.0,220,2.0,1.0,0.29451137884872824,0.7773851590106007,0.6666666666666666,0.8333333333333334
2501014,3779,3782,"April 14, 2018 at 8:00:00 PM GMT+2",France,6.0,0.0,1.0,1.0,5,15,1.0,457,1.0,0.0,0.5726817042606517,0.865530303030303,1.0,0.2
2501009,3766,3789,"April 14, 2018 at 5:00:00 PM GMT+2",France,5.0,0.0,0.0,0.0,6,24,3.0,225,0.0,3.0,0.2877237851662404,0.7922535211267606,0.625,0.5
2501001,3777,3766,"April 8, 2018 at 5:00:00 PM GMT+2",France,6.0,0.0,0.0,5.0,14,10,7.0,499,5.0,0.0,0.5755478662053056,0.8816254416961131,1.0,0.5
2500996,3789,3783,"April 7, 2018 at 8:00:00 PM GMT+2",France,1.0,0.0,1.0,0.0,12,10,6.0,301,0.0,3.0,0.5482695810564663,0.7838541666666666,0.25,0.5
2500998,3772,3776,"April 7, 2018 at 8:00:00 PM GMT+2",France,3.0,1.0,3.0,1.0,7,15,1.0,233,1.0,2.0,0.3196159122085048,0.7952218430034129,0.6,0.14285714285714285
2500999,3785,3795,"April 7, 2018 at 8:00:00 PM GMT+2",France,6.0,0.0,1.0,0.0,9,15,5.0,293,0.0,4.0,0.484297520661157,0.7855227882037533,0.6,0.5555555555555556
2501005,3780,3804,"April 7, 2018 at 8:00:00 PM GMT+2",France,6.0,0.0,1.0,0.0,8,17,3.0,278,1.0,0.0,0.5186567164179104,0.7473118279569892,1.0,0.375
2501002,19830,3770,"April 7, 2018 at 5:00:00 PM GMT+2",France,1.0,0.0,3.0,1.0,9,5,4.0,222,1.0,2.0,0.33893129770992364,0.7375415282392026,0.3333333333333333,0.4444444444444444
2500990,3766,3780,"April 1, 2018 at 9:00:00 PM GMT+2",France,3.0,0.0,1.0,0.0,10,21,6.0,281,0.0,2.0,0.35841836734693877,0.8005698005698005,0.6,0.6
2500986,3783,3787,"April 1, 2018 at 5:00:00 PM GMT+2",France,5.0,0.0,2.0,2.0,7,9,6.0,401,3.0,1.0,0.5207792207792208,0.8586723768736617,0.8333333333333334,0.8571428571428571
2500989,3776,3789,"April 1, 2018 at 5:00:00 PM GMT+2",France,3.0,0.0,2.0,0.0,10,15,2.0,306,1.0,0.0,0.3691194209891435,0.816,1.0,0.2
2500991,3770,3782,"April 1, 2018 at 5:00:00 PM GMT+2",France,4.0,0.0,0.0,0.0,15,19,8.0,394,3.0,0.0,0.4949748743718593,0.8640350877192983,1.0,0.5333333333333333
2500995,3795,3775,"April 1, 2018 at 5:00:00 PM GMT+2",France,3.0,0.0,0.0,1.0,15,10,6.0,630,2.0,0.0,0.656934306569343,0.9077809798270894,1.0,0.4
2500988,3785,3772,"April 1, 2018 at 3:00:00 PM GMT+2",France,4.0,0.0,2.0,0.0,12,14,4.0,354,1.0,2.0,0.5355521936459909,0.7990970654627539,0.6666666666666666,0.3333333333333333
2500987,3804,3771,"March 31, 2018 at 5:00:00 PM GMT+2",France,1.0,0.0,3.0,2.0,9,12,4.0,352,3.0,1.0,0.5945945945945946,0.8461538461538461,0.5,0.4444444444444444
2500979,3771,3766,"March 18, 2018 at 9:00:00 PM GMT+1",France,4.0,0.0,3.0,2.0,12,9,6.0,264,3.0,2.0,0.4018264840182648,0.8148148148148148,0.6666666666666666,0.5
2500984,3782,3785,"March 18, 2018 at 5:00:00 PM GMT+1",France,4.0,0.0,4.0,0.0,9,16,3.0,284,0.0,2.0,0.3722149410222805,0.8352941176470589,0.6666666666666666,0.3333333333333333
2500983,3775,3767,"March 18, 2018 at 1:00:00 PM GMT+1",France,3.0,0.0,1.0,1.0,20,14,8.0,528,2.0,1.0,0.6330935251798561,0.9041095890410958,0.75,0.4
2500977,3799,3783,"March 17, 2018 at 8:00:00 PM GMT+1",France,4.0,0.0,2.0,0.0,8,12,2.0,378,0.0,3.0,0.6038338658146964,0.8217391304347826,0.5714285714285714,0.25
2500978,3772,3774,"March 17, 2018 at 5:00:00 PM GMT+1",France,2.0,0.0,1.0,1.0,5,9,3.0,334,2.0,0.0,0.4575342465753425,0.8166259168704156,1.0,0.6
2500981,19830,3776,"March 16, 2018 at 8:45:00 PM GMT+1",France,2.0,0.0,0.0,1.0,11,9,5.0,431,1.0,2.0,0.5394242803504381,0.8256704980842912,0.5,0.45454545454545453
2500992,3767,3799,"March 14, 2018 at 5:00:00 PM GMT+1",France,5.0,0.0,2.0,0.0,18,14,8.0,303,1.0,2.0,0.32545649838882923,0.8278688524590164,0.7142857142857143,0.4444444444444444
2500975,3780,3771,"March 11, 2018 at 9:00:00 PM GMT+1",France,5.0,0.0,3.0,2.0,21,12,9.0,396,2.0,1.0,0.668918918918919,0.8301886792452831,0.8333333333333334,0.42857142857142855
