matchID,team1_ID,team2_ID,date,tournament,gk_saves_T1,red_card_T1,yellow_card_T1,assists_T1,shots_T1,shots_against_T1,shots_on_target_T1,passes_T1,goals_T1,goals_against_T1,ball_possession_T1,pass_acc_T1,gk_acc_T1,shot_acc_T1,winner
2517010,2975,2482,"April 21, 2018 at 3:30:00 PM GMT+2",Germany,2.0,1.0,0.0,1.0,14,13,7.0,443,2.0,5.0,0.5558343789209536,0.8720472440944882,0.2857142857142857,0.5,0
2517013,2462,2457,"April 21, 2018 at 3:30:00 PM GMT+2",Germany,0.0,1.0,1.0,0.0,11,4,3.0,345,0.0,3.0,0.5259146341463414,0.7683741648106904,0.0,0.2727272727272727,0
2517015,2450,2453,"April 21, 2018 at 3:30:00 PM GMT+2",Germany,5.0,0.0,3.0,0.0,11,11,4.0,312,1.0,0.0,0.609375,0.78,1.0,0.36363636363636365,1
2517016,2455,2444,"April 21, 2018 at 3:30:00 PM GMT+2",Germany,5.0,0.0,1.0,0.0,6,13,2.0,177,0.0,3.0,0.19977426636568849,0.7405857740585774,0.625,0.3333333333333333,0
2517017,2445,2443,"April 21, 2018 at 3:30:00 PM GMT+2",Germany,3.0,0.0,1.0,2.0,9,9,5.0,248,2.0,0.0,0.4065573770491803,0.7560975609756098,1.0,0.5555555555555556,1
2517012,2454,2451,"April 20, 2018 at 8:30:00 PM GMT+2",Germany,2.0,0.0,0.0,0.0,13,8,6.0,474,3.0,0.0,0.6228646517739816,0.88268156424581,1.0,0.46153846153846156,1
2517006,2460,2453,"April 16, 2018 at 7:30:00 PM GMT+2",Germany,0.0,0.0,1.0,1.0,12,11,3.0,275,2.0,0.0,0.4954954954954955,0.7857142857142857,0.0,0.25,1
2517004,2449,2447,"April 15, 2018 at 3:30:00 PM GMT+2",Germany,5.0,0.0,1.0,1.0,12,12,3.0,284,2.0,0.0,0.42074074074074075,0.8452380952380952,1.0,0.25,1
2517000,2444,2454,"April 14, 2018 at 6:30:00 PM GMT+2",Germany,0.0,0.0,2.0,3.0,19,4,10.0,730,5.0,1.0,0.7351460221550856,0.9370988446726572,0.0,0.5263157894736842,1
2517001,2482,2450,"April 14, 2018 at 3:30:00 PM GMT+2",Germany,6.0,0.0,1.0,1.0,22,12,6.0,227,2.0,0.0,0.36261980830670926,0.7467105263157895,1.0,0.2727272727272727,1
