matchID,team1_ID,team2_ID,date,tournament,avg_closeness_centrality_T1,std_closeness_centrality_T1,min_closeness_centrality_T1,max_closeness_centrality_T1,avg_degree_centrality_T1,std_degree_centrality_T1,min_degree_centrality_T1,max_degree_centrality_T1,avg_betweenness_centrality_T1,std_betweenness_centrality_T1,min_betweenness_centrality_T1,max_betweenness_centrality_T1,avg_eigenvector_centrality_T1,std_eigenvector_centrality_T1,min_eigenvector_centrality_T1,max_eigenvector_centrality_T1,avg_clustering_T1,std_clustering_T1,min_clustering_T1,max_clustering_T1,avg_shortest_path_T1,mean_centroid_y_T1,std_centroid_y_T1,mean_centroid_x_T1,std_centroid_x_T1,winner
2501057,3804,3799,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.8328943783489238,0.12322064198651049,0.6666666666666666,1.0,1.5454545454545454,0.3143930266507378,1.0,2.0,0.025252525252525252,0.024717669126027495,0.0022222222222222222,0.06482804232804232,0.2956497194879967,0.05916362290935034,0.20470140594563366,0.36642075244371375,0.8339990772130352,0.07645873163149816,0.7222222222222222,0.9523809523809523,1.2272727272727273,49.1838884922923,19.932357719444653,43.72716865265116,14.768735842585455,1
2501058,3766,3775,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.8420964062675292,0.1036520575040744,0.5882352941176471,1.0,1.581818181818182,0.3009626428590336,0.7000000000000001,1.9000000000000001,0.023232323232323236,0.014180853537816862,0.005026455026455026,0.042328042328042326,0.2938517984432837,0.06752933777802561,0.10768781296020226,0.35330049346595244,0.8313974637820973,0.060187338859191815,0.7368421052631579,0.9026548672566371,1.209090909090909,47.25851510065772,20.576433071914522,54.35460453513329,16.685908715959183,1
2501059,3771,3789,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.9073956346683617,0.10061475120807449,0.6666666666666666,1.0,1.7636363636363634,0.205703790890632,1.3,2.0,0.013131313131313131,0.006574496486616095,0.0,0.0242989417989418,0.2981126589856386,0.045143476401394086,0.17367025353843513,0.33188731760251466,0.8969819927567504,0.03142816014046731,0.8555555555555555,0.9797979797979798,1.1181818181818182,55.022492199872154,19.492313232755027,48.47825016689385,16.450236988323095,1
2501060,3777,3772,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.7840454999545909,0.08468888887515812,0.625,0.9090909090909091,1.4181818181818182,0.3214121732666125,0.8,1.9000000000000001,0.03232323232323232,0.022406344916842375,0.004166666666666667,0.0813888888888889,0.2965572475194739,0.0544324338309835,0.17029837105838028,0.37013183482777234,0.7669080104961893,0.06411022312143073,0.6851851851851852,0.8780487804878049,1.290909090909091,47.53721815885374,26.09152662512926,45.23482663651243,15.833158850344297,0
2501061,3770,3779,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.8509974873611238,0.09812046832510544,0.7142857142857143,1.0,1.6181818181818182,0.18982375470746454,1.2000000000000002,1.9000000000000001,0.021212121212121213,0.012475388467692266,0.006481481481481481,0.04462962962962962,0.29739173746936814,0.04967137398986794,0.21626706420579486,0.3651976974557364,0.820956923729575,0.03369690815351133,0.7724137931034483,0.8809523809523809,1.190909090909091,50.68440337092375,20.322947991156788,44.72904123335158,16.464676361670893,1
2501063,3782,3776,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.8734750098386462,0.07932707086442697,0.7142857142857143,1.0,1.6909090909090907,0.2193152378511785,1.3,1.9000000000000001,0.017171717171717168,0.008610701619572914,0.002976190476190476,0.030039682539682536,0.2995198719245651,0.03459678065056131,0.21536958161267336,0.34536983234396446,0.8682985947102447,0.03640584751405518,0.8333333333333334,0.9418604651162791,1.1545454545454545,52.59649458957136,19.71043473342099,43.97098216972739,17.347577600006428,1
2501064,3780,3785,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.8196349105440014,0.0941100281561933,0.6666666666666666,1.0,1.5272727272727273,0.19582417480489103,1.2000000000000002,1.8,0.026262626262626262,0.01073421439462279,0.0068783068783068784,0.045753968253968255,0.2963025995267571,0.05580197507953583,0.18444991050059384,0.3785289163691107,0.7722172316812501,0.019499023041174072,0.7380952380952381,0.8145161290322581,1.2363636363636363,50.66848525212162,21.731263911297418,46.64147342556433,16.370875203936762,1
2501065,3795,19830,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.8367049617049619,0.13518169179410933,0.625,1.0,1.5454545454545454,0.19708621262435272,1.2000000000000002,1.9000000000000001,0.025252525252525252,0.014139307153261211,0.0061507936507936515,0.05055555555555557,0.29185944376126816,0.07567797563660186,0.13341314639509544,0.3723217529571899,0.7853052193664752,0.0366593017804868,0.7469135802469136,0.875,1.2272727272727273,51.75958512727288,20.864094779022814,48.91366889078352,16.32338918417953,0
2501046,3789,3777,"May 12, 2018 at 9:00:00 PM GMT+2",France,0.8404436472618291,0.1233687393619858,0.625,1.0,1.563636363636364,0.3023325299693798,0.8,1.9000000000000001,0.024242424242424246,0.016145866279218657,0.0,0.04826719576719577,0.2938747155066595,0.0674295372590589,0.14965452145265754,0.35921100601195977,0.838559911977929,0.056112242741667685,0.7734375,0.9444444444444444,1.2181818181818183,49.473080915692144,19.80428558488574,41.9569988536605,13.921480002056674,1
2501048,3772,3780,"May 12, 2018 at 9:00:00 PM GMT+2",France,0.8445333632499409,0.11433356464113406,0.5882352941176471,1.0,1.581818181818182,0.2516064091472372,1.1,2.0,0.02323232323232323,0.018464409605975514,0.004563492063492064,0.06960317460317461,0.29416013429979615,0.066173305024132,0.11905589738077758,0.3624189916276833,0.8236783926691569,0.0509776400335884,0.7444444444444445,0.9038461538461539,1.209090909090909,55.34633384905415,21.657994580245365,47.031685229441564,15.85136484879108,1
