matchID,team1_ID,team2_ID,date,tournament,avg_closeness_centrality_T2,std_closeness_centrality_T2,avg_degree_centrality_T2,std_degree_centrality_T2,avg_betweenness_centrality_T2,std_betweenness_centrality_T2,avg_eigenvector_centrality_T2,std_eigenvector_centrality_T2,avg_clustering_T2,std_clustering_T2,avg_shortest_path_T2,mean_centroid_y_T2,std_centroid_y_T2,mean_centroid_x_T2,std_centroid_x_T2
1694440,9905,4418,2016-07-10 21:00:00-02:00,European_Championship,0.8581532104259377,0.09400650674558803,1.6363636363636367,0.2993105024209878,0.0202020202020202,0.015274280848593252,0.29725104361214744,0.050506514239057526,0.8657860628040249,0.04505202360882984,1.1818181818181819,46.71735116840885,21.501623029440594,50.54937652804669,17.662119353234527
1694439,3148,4418,2016-07-07 21:00:00-02:00,European_Championship,0.8008497741118062,0.10803801382054984,1.4545454545454546,0.24257571025684244,0.0303030303030303,0.014760031342848924,0.292810589028201,0.0719100122517641,0.7517246107900607,0.052797000328808054,1.2727272727272727,54.27236569166855,20.680444823587813,43.40377702285498,14.808964852369606
1694438,9905,10682,2016-07-06 21:00:00-02:00,European_Championship,0.8734750098386462,0.07932707086442697,1.6909090909090907,0.21931523785117849,0.017171717171717175,0.007226022135467384,0.2994886885274473,0.03486569020112117,0.8654144771718176,0.0281760688537517,1.1545454545454545,48.79666032601704,19.113044472445317,44.19762823324598,14.877722627774991
1694437,4418,7839,2016-07-03 21:00:00-02:00,European_Championship,0.8791322314049587,0.09750592291862024,1.6909090909090911,0.2020555524626624,0.017171717171717168,0.01015272777285841,0.297016393929169,0.05186860945122383,0.8529355684082405,0.03939307987151226,1.1545454545454545,51.68056748137933,21.25948588509561,39.82171600322163,12.165601438177768
1694436,3148,3757,2016-07-02 21:00:00-02:00,European_Championship,0.8650894559985467,0.10276743348453933,1.6545454545454545,0.20164611829835302,0.01919191919191919,0.009267067851741579,0.2971042414930386,0.051363027519190356,0.846441197702429,0.03608838753957402,1.1727272727272726,48.42724223906442,23.149476067469482,44.835843784459804,14.08603391874361
1694435,10682,5629,2016-07-01 21:00:00-02:00,European_Championship,0.8630754272465503,0.10994381647515306,1.6363636363636365,0.3023325299693798,0.020202020202020204,0.014722178563594675,0.294692325548826,0.06376146306128568,0.867801430142719,0.054518206615256214,1.1818181818181819,49.25582335969411,19.366376367525092,50.45695188355849,15.682472480704032
1694434,13869,9905,2016-06-30 21:00:00-02:00,European_Championship,0.816486543759271,0.12379312711435385,1.5090909090909093,0.31465578727048693,0.029292929292929294,0.02317341530608413,0.28707237283496245,0.09218754614369132,0.7983701548544823,0.08379307106205547,1.2636363636363637,47.781691524649,19.075057765176854,50.275108613865854,17.07075842995889
1694433,2413,7839,2016-06-27 21:00:00-02:00,European_Championship,0.7495282495282496,0.12401732982765279,1.2545454545454546,0.3340213285613424,0.04141414141414142,0.028100037190671844,0.2832069489188591,0.1034548935196476,0.7047620262831812,0.052591870249668604,1.3727272727272728,48.31409248802297,23.086791162615608,36.16185653324691,12.715842487183918
1694432,3757,1598,2016-06-27 18:00:00-02:00,European_Championship,0.8370666642725465,0.11305630697823024,1.5606060606060608,0.3167355297025284,0.021969696969696962,0.015818028567645397,0.28220935783801765,0.060755342826677106,0.84128191142246,0.061876681199892834,1.2196969696969697,51.79028623199057,17.014816285357284,53.11904162207551,17.148805396638675
1694431,10451,5629,2016-06-26 21:00:00-02:00,European_Championship,0.8626524990161354,0.09128482367725979,1.6545454545454548,0.2104697618689132,0.019191919191919194,0.010146828844818625,0.29819100778974933,0.04462301852659144,0.8423720227039344,0.044060460079896537,1.1727272727272726,49.22154461004183,18.896006078308435,49.03804926438695,18.15598251968552
1694430,3148,14496,2016-06-26 18:00:00-02:00,European_Championship,0.8340750158931975,0.0732038531911017,1.5818181818181818,0.21666136886932702,0.023232323232323236,0.01198547709756599,0.29855682701326863,0.04210596101337832,0.8097694732633335,0.02458513831268377,1.209090909090909,54.04057018019059,22.196528795876304,40.47914116611975,14.036711800461752
1694429,4418,8274,2016-06-26 15:00:00-02:00,European_Championship,0.7642736051826962,0.09075616465420534,1.3636363636363635,0.17721444263289027,0.03636363636363636,0.015411039605065456,0.29584103641223086,0.0581994165230886,0.6877662894767543,0.06081082001127654,1.3272727272727274,53.85291579765264,21.05990943234454,44.238238037879185,16.020280670176206
1694428,9598,9905,2016-06-25 21:00:00-02:00,European_Championship,0.9063625768171222,0.1210754156457389,1.7454545454545458,0.17248787237282068,0.014141414141414142,0.009750287446807813,0.29488159729822777,0.0628803187327861,0.8790238850366492,0.019857224944921047,1.1272727272727272,48.496823789316416,17.553837981409888,46.6316565964178,14.338004181696585
1694427,10682,10962,2016-06-25 18:00:00-02:00,European_Championship,0.7742391298541033,0.12622723082557363,1.3636363636363635,0.2672170628490739,0.03636363636363637,0.026778553927771103,0.2860118760996528,0.09542692303038901,0.7218950790715303,0.07938719147203945,1.3272727272727274,49.032458421147865,22.24413222291448,47.0843206377155,15.847071720935414
1694426,6697,13869,2016-06-25 15:00:00-02:00,European_Championship,0.8734750098386462,0.10650487886681469,1.6727272727272726,0.1656442468935327,0.018181818181818184,0.009350642237085005,0.2959459693368011,0.057663455865843816,0.8397981696422544,0.022145501635545753,1.1636363636363636,46.039387598353,23.174455389211463,47.95336095564209,16.020747953442758
