matchID,team1_ID,team2_ID,tournament,gk_saves_T1,gk_saves_T2,red_card_T1,red_card_T2,yellow_card_T1,yellow_card_T2,assists_T1,assists_T2,shots_T1,shots_T2,shots_on_target_T1,shots_on_target_T2,passes_T1,passes_T2,goals_T1,goals_T2,ball_possession_T1,ball_possession_T2,pass_acc_T1,pass_acc_T2,gk_acc_T1,gk_acc_T2,shot_acc_T1,shot_acc_T2,winner
2058001,19314,12430,World_Cup,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,7,4,3.0,2.0,219,350,0.0,1.0,0.38488576449912126,0.6151142355008787,0.8171641791044776,0.8454106280193237,0.5,1.0,0.42857142857142855,0.5,0
2057982,17322,6380,World_Cup,4.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,10,14,2.0,6.0,356,537,0.0,2.0,0.3986562150055991,0.6013437849944009,0.839622641509434,0.8760195758564437,0.6666666666666666,1.0,0.2,0.42857142857142855,0
2057983,6697,16871,World_Cup,5.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,11,14,3.0,6.0,481,272,2.0,2.0,0.6387782204515272,0.3612217795484728,0.8874538745387454,0.8267477203647416,0.7142857142857143,0.3333333333333333,0.2727272727272727,0.42857142857142855,0
2057989,15473,7047,World_Cup,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,19,14,3.0,5.0,382,149,0.0,3.0,0.71939736346516,0.2806026365348399,0.8507795100222717,0.7198067632850241,0.5,1.0,0.15789473684210525,0.35714285714285715,0
2057988,14855,3148,World_Cup,6.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,11,25,5.0,6.0,181,605,2.0,0.0,0.23027989821882952,0.7697201017811705,0.8080357142857143,0.8832116788321168,1.0,0.6,0.45454545454545453,0.24,1
2057976,16823,12274,World_Cup,2.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,9,7,3.0,4.0,191,458,1.0,2.0,0.2942989214175655,0.7057010785824345,0.7892561983471075,0.8403669724770643,0.5,0.6666666666666666,0.3333333333333333,0.5714285714285714,0
2057977,7839,9598,World_Cup,0.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,17,12,6.0,2.0,222,441,1.0,2.0,0.334841628959276,0.665158371040724,0.7900355871886121,0.8873239436619719,0.0,0.8333333333333334,0.35294117647058826,0.16666666666666666,0
2057971,8493,15594,World_Cup,1.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,13,4,2.0,3.0,446,330,0.0,2.0,0.5747422680412371,0.4252577319587629,0.87109375,0.8461538461538461,0.3333333333333333,1.0,0.15384615384615385,0.75,0
2057970,7712,4418,World_Cup,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,11,1.0,4.0,231,577,0.0,0.0,0.28589108910891087,0.7141089108910891,0.791095890410959,0.8809160305343512,1.0,1.0,0.25,0.36363636363636365,0
2057965,1598,16216,World_Cup,1.0,2.0,0.0,0.0,0.0,6.0,2.0,1.0,15,6,4.0,3.0,661,193,2.0,2.0,0.7740046838407494,0.2259953161592506,0.9206128133704735,0.8502202643171806,0.3333333333333333,0.5,0.26666666666666666,0.5,0
2057964,10840,9905,World_Cup,3.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,7,12,2.0,3.0,154,520,1.0,1.0,0.228486646884273,0.771513353115727,0.8020833333333334,0.896551724137931,0.75,0.5,0.2857142857142857,0.25,0
2057959,16521,16129,World_Cup,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,22,7,6.0,1.0,559,277,2.0,1.0,0.6686602870813397,0.33133971291866027,0.884493670886076,0.8075801749271136,0.0,0.7142857142857143,0.2727272727272727,0.14285714285714285,1
2057958,15670,14358,World_Cup,1.0,5.0,0.0,1.0,1.0,3.0,0.0,0.0,14,3,6.0,1.0,405,271,3.0,0.0,0.599112426035503,0.40088757396449703,0.869098712446352,0.8287461773700305,1.0,0.625,0.42857142857142855,0.3333333333333333,1
2057998,13869,12430,World_Cup,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,7,13,2.0,4.0,330,416,0.0,3.0,0.44235924932975873,0.5576407506702413,0.8188585607940446,0.8336673346693386,0.25,1.0,0.2857142857142857,0.3076923076923077,0
2057999,12913,19314,World_Cup,5.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,7,12,3.0,7.0,364,257,2.0,2.0,0.5861513687600645,0.4138486312399356,0.8564705882352941,0.803125,0.7142857142857143,0.3333333333333333,0.42857142857142855,0.5833333333333334,0
2057993,2413,17929,World_Cup,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,12,7,7.0,1.0,527,334,6.0,1.0,0.6120789779326364,0.3879210220673635,0.9427549194991055,0.893048128342246,0.5,0.14285714285714285,0.5833333333333334,0.14285714285714285,1
2057986,3148,7047,World_Cup,4.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,17,6,5.0,5.0,602,153,2.0,1.0,0.7973509933774835,0.20264900662251656,0.887905604719764,0.7536945812807881,0.8,0.6666666666666666,0.29411764705882354,0.8333333333333334,1
