matchID,team1_ID,team2_ID,tournament,closeness_centrality_T1,closeness_centrality_T2,degree_centrality_T1,degree_centrality_T2,betweenness_centrality_T1,betweenness_centrality_T2,eigenvector_centrality_T1,eigenvector_centrality_T2,clustering_T1,clustering_T2,avg_shortest_path_T1,avg_shortest_path_T2,centroid_y_T1,centroid_x_T1,centroid_y_T2,centroid_x_T2,winner
2517036,2444,2445,Germany,0.885357067175249,0.7172410922410923,1.7090909090909092,1.1818181818181819,0.01616161616161616,0.04545454545454545,0.2982102791466335,0.2927364434104022,0.8884628749374586,0.5764993933628673,1.1454545454545455,1.4090909090909092,49.60006997389744,52.829291329933945,48.5072261072261,39.97092074592074,0
2517037,2482,2447,Germany,0.8182575000756818,0.8884562407289679,1.5272727272727273,1.7090909090909094,0.026262626262626265,0.01616161616161616,0.2975696974214167,0.29658831145686676,0.7743412910734571,0.8792866709368884,1.2363636363636363,1.1454545454545455,49.79068478787267,43.96396450781047,48.212346536601224,49.785851238859976,1
2517038,2457,2975,Germany,0.8199367477442344,0.8509974873611236,1.5090909090909088,1.618181818181818,0.02727272727272727,0.021212121212121213,0.2931058864712934,0.2977713557970361,0.7883719876271355,0.8218882703305733,1.2454545454545454,1.190909090909091,52.5663568434604,46.85121949345744,52.19030075656149,47.466559570947176,0
2517039,2453,2481,Germany,0.8271879635515998,0.8867344776435686,1.5454545454545454,1.7272727272727273,0.025252525252525252,0.015151515151515154,0.29622365508107135,0.29981281197570736,0.7868332382048149,0.8664944159373927,1.2272727272727273,1.1363636363636365,49.19950569225403,46.94116414561677,53.49173689932719,45.61242315284873,1
2517040,2449,2462,Germany,0.870084460993552,0.8809069718160628,1.6727272727272728,1.6909090909090911,0.018181818181818184,0.017171717171717168,0.29875125042334055,0.29728859158298526,0.8463249311138512,0.8621072396123463,1.1636363636363636,1.1545454545454545,49.82656136019645,45.61008921594157,52.07340265761213,44.429966597713545,1
2517041,2446,2455,Germany,0.9249841068022888,0.875079465988557,1.8181818181818186,1.6909090909090911,0.010101010101010102,0.01717171717171717,0.29964681963976436,0.2989050315416317,0.9127098375278297,0.8522290335365926,1.0909090909090908,1.1545454545454545,53.601718943918634,50.809230208624925,52.739535104994545,44.32100009712774,1
2517042,2450,2454,Germany,0.8596100868828143,0.9015681288408561,1.6545454545454545,1.7636363636363634,0.01919191919191919,0.013131313131313131,0.29940563844993034,0.29983320237764,0.8249130712188463,0.9016781138632285,1.1727272727272726,1.1181818181818182,48.84116222575069,48.01277990963042,49.90239831452634,47.778650536066806,1
2517043,2460,2443,Germany,0.8467895740623012,0.8668150031786394,1.6,1.6727272727272728,0.022222222222222223,0.01818181818181818,0.29672424228093836,0.2993051424284811,0.8387215796321413,0.8329966786639825,1.2,1.1636363636363636,47.639847914393364,42.77068694614149,50.81220685779047,49.757922287098296,0
2517044,2451,2463,Germany,0.885357067175249,0.8506039415130324,1.7090909090909092,1.6181818181818182,0.01616161616161616,0.021212121212121213,0.29749743219739383,0.29799176311372483,0.8546595766279499,0.8204587874689442,1.1454545454545455,1.190909090909091,52.76721495450465,50.0198071937152,48.10912288729197,45.48515199227047,1
2517027,2447,2460,Germany,0.8641349737606422,0.7770108679199588,1.6363636363636365,1.4,0.020202020202020207,0.03333333333333333,0.2947948908711298,0.29775353125097354,0.8493476844248192,0.7054454757984246,1.1818181818181819,1.3,48.49189585316265,53.74571999779076,48.05167634067156,42.16520935869022,0
