matchID,team1_ID,team2_ID,date,tournament,avg_closeness_centrality_T1,std_closeness_centrality_T1,min_closeness_centrality_T1,max_closeness_centrality_T1,avg_degree_centrality_T1,std_degree_centrality_T1,min_degree_centrality_T1,max_degree_centrality_T1,avg_betweenness_centrality_T1,std_betweenness_centrality_T1,min_betweenness_centrality_T1,max_betweenness_centrality_T1,avg_eigenvector_centrality_T1,std_eigenvector_centrality_T1,min_eigenvector_centrality_T1,max_eigenvector_centrality_T1,avg_clustering_T1,std_clustering_T1,min_clustering_T1,max_clustering_T1,avg_shortest_path_T1,mean_centroid_y_T1,std_centroid_y_T1,mean_centroid_x_T1,std_centroid_x_T1,winner
2501057,3804,3799,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.7534993972159747,0.10833386466793561,0.5882352941176471,0.9090909090909091,1.3090909090909089,0.2968150494057183,0.7000000000000001,1.8,0.0393939393939394,0.028574446316686392,0.005555555555555556,0.10078483245149913,0.2927825089997448,0.07202425517077735,0.1740497648508254,0.3950437756691905,0.7044530372567633,0.04845968564029341,0.6068965517241379,0.7903225806451613,1.3545454545454545,47.646952715546604,19.665303509418322,40.96853846211466,12.673704969446678,1
2501058,3766,3775,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.7674900856719038,0.11605521688947046,0.45454545454545453,0.9090909090909091,1.3636363636363638,0.35744733184250005,0.30000000000000004,1.7000000000000002,0.03838383838383839,0.027521978837569176,0.0022222222222222222,0.10705026455026455,0.28820192272122935,0.08859312980630862,0.037920222317824756,0.38098994472819475,0.7593196513541443,0.04732703702342747,0.6666666666666666,0.8235294117647058,1.3454545454545455,50.16434957745026,22.220209023430208,56.72132659907259,16.970682386031008,1
2501059,3771,3789,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.7732040686586141,0.08164203812948008,0.625,0.9090909090909091,1.4000000000000001,0.30451153135353143,0.6000000000000001,1.7000000000000002,0.03434343434343434,0.021863112205006672,0.0015873015873015873,0.08395943562610231,0.2971339475504417,0.051190898821785326,0.1808840951291308,0.35771055071821956,0.7403174732977651,0.048665846456038636,0.6666666666666666,0.8571428571428571,1.309090909090909,54.57105667315349,21.74223953076185,43.54571974254285,15.62859341572255,1
2501060,3777,3772,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.6863969363969363,0.04744761791525358,0.625,0.7692307692307693,1.0727272727272728,0.20928844424038798,0.8,1.5,0.051515151515151514,0.031649760011381055,0.016481481481481482,0.11740740740740739,0.2966809998703737,0.05375383916527451,0.2088970969851167,0.38171839639525856,0.5295039868712967,0.052132378888360226,0.43548387096774194,0.6,1.4636363636363636,51.39666826043831,24.370382604846878,44.84256098921875,16.174191993905357,0
2501061,3770,3779,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.7534737989283443,0.06505458173463406,0.6666666666666666,0.9090909090909091,1.3272727272727274,0.21780270092201712,1.0,1.7000000000000002,0.03737373737373737,0.015940589254361568,0.01621693121693122,0.06095238095238095,0.29816961890245247,0.04476571537077415,0.22176620443089284,0.3921583821002221,0.6639713812291741,0.039721815271731346,0.5972222222222222,0.7209302325581395,1.3363636363636364,51.07614205969469,23.329751712777348,47.10507344750766,17.523867450322793,1
2501063,3782,3776,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.7948680107771016,0.0826651270681151,0.625,0.9090909090909091,1.4545454545454546,0.24257571025684244,1.0,1.8,0.03030303030303031,0.016841439027905348,0.007513227513227514,0.05732804232804233,0.29551921941856346,0.05981205449851931,0.16537446135511566,0.36245931271042364,0.7497084701411325,0.0443034254959696,0.6918604651162791,0.8225806451612904,1.2727272727272727,50.86512951060249,22.218333819836865,44.45830039405551,16.194253509334885,1
2501064,3780,3785,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.742453624806566,0.08056866877456545,0.5882352941176471,0.8333333333333334,1.290909090909091,0.26095818353467864,0.7000000000000001,1.7000000000000002,0.0404040404040404,0.0363065434396074,0.0,0.14453703703703702,0.2948731119559143,0.0629200981763832,0.16883802259431988,0.3642726761936537,0.6750619872869533,0.05363924283683062,0.6124031007751938,0.825,1.3636363636363635,49.850310736266266,22.81974311425585,46.80183874667409,16.502698100056666,1
2501065,3795,19830,"May 19, 2018 at 9:00:00 PM GMT+2",France,0.7033294987840443,0.09225822348292714,0.5555555555555556,0.9090909090909091,1.1272727272727272,0.16564424689353277,0.9,1.4000000000000001,0.04949494949494949,0.01767684784333273,0.0287037037037037,0.09185185185185187,0.28790349574821655,0.08955818245725818,0.1346970817584067,0.46810795908592606,0.5526771722748488,0.065322481479013,0.45121951219512196,0.7142857142857143,1.4454545454545455,52.63481511061725,24.930629762312257,46.29273271291988,17.551523888943326,0
2501046,3789,3777,"May 12, 2018 at 9:00:00 PM GMT+2",France,0.7625808534899444,0.10094414701486927,0.5555555555555556,0.9090909090909091,1.3454545454545455,0.287192163616933,0.7000000000000001,1.8,0.037373737373737385,0.024155260856700982,0.0034391534391534392,0.07910052910052912,0.29238891651914306,0.07360579057283802,0.11471207389958435,0.393904032884857,0.7172107778060064,0.05755859092265908,0.6550387596899225,0.8809523809523809,1.3363636363636364,48.91538785025329,21.197265567499347,42.91424191637369,13.711206174598452,1
2501048,3772,3780,"May 12, 2018 at 9:00:00 PM GMT+2",France,0.7552741376270788,0.09888310256715124,0.5882352941176471,1.0,1.3090909090909093,0.31753180357405425,0.8,1.9000000000000001,0.03838383838383838,0.03320556503169605,0.0022222222222222222,0.12677248677248676,0.2942859405763609,0.06561155453254765,0.14804379873437798,0.41710646173196564,0.7288711164393884,0.0938269643410173,0.6049382716049383,0.96,1.3454545454545455,54.16493185591426,23.099131756013715,46.92659012270449,14.127714428027785,1
