matchID,team1_ID,team2_ID,date,tournament,avg_closeness_centrality_T2,std_closeness_centrality_T2,min_closeness_centrality_T2,max_closeness_centrality_T2,avg_degree_centrality_T2,std_degree_centrality_T2,min_degree_centrality_T2,max_degree_centrality_T2,avg_betweenness_centrality_T2,std_betweenness_centrality_T2,min_betweenness_centrality_T2,max_betweenness_centrality_T2,avg_eigenvector_centrality_T2,std_eigenvector_centrality_T2,min_eigenvector_centrality_T2,max_eigenvector_centrality_T2,avg_clustering_T2,std_clustering_T2,min_clustering_T2,max_clustering_T2,avg_shortest_path_T2,mean_centroid_y_T2,std_centroid_y_T2,mean_centroid_x_T2,std_centroid_x_T2
2517036,2444,2445,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7172410922410923,0.07414353555029078,0.625,0.8333333333333334,1.1818181818181819,0.1585054161287518,0.9,1.4000000000000001,0.04545454545454545,0.019386455720346488,0.018333333333333333,0.08037037037037037,0.2927364434104022,0.07221125679919503,0.18460842049196394,0.390823306539131,0.5764993933628673,0.049781345225646124,0.4838709677419355,0.6617647058823529,1.4090909090909092,48.5072261072261,21.547200357337914,39.97092074592074,14.697157185837929
2517037,2482,2447,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.8884562407289679,0.10707576635335192,0.625,1.0,1.7090909090909094,0.23531234737354154,1.1,2.0,0.01616161616161616,0.01126208983622525,0.0012345679012345679,0.03659171075837742,0.29658831145686676,0.05426291934881028,0.14194830280435036,0.3384985227308209,0.8792866709368886,0.04502429315987936,0.8209876543209876,0.9591836734693877,1.1454545454545455,48.212346536601224,23.203902777904815,49.785851238859976,16.815107649187027
2517038,2457,2975,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.8509974873611236,0.09812046832510544,0.7142857142857143,1.0,1.618181818181818,0.216661368869327,1.3,2.0,0.021212121212121213,0.013476366757756535,0.006261022927689594,0.045798059964726634,0.2977713557970361,0.047342481725040866,0.22128734476138026,0.35918034508671076,0.8218882703305733,0.039246638353240965,0.7666666666666667,0.8735632183908046,1.190909090909091,52.19030075656149,19.987626820844703,47.466559570947176,15.205940653713078
2517039,2453,2481,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.8867344776435686,0.07836533804566106,0.7692307692307693,1.0,1.7272727272727273,0.16006197146962733,1.4000000000000001,1.9000000000000001,0.015151515151515154,0.0058935660638911,0.004409171075837742,0.025277777777777777,0.29981281197570736,0.0319588592460689,0.2447029484252073,0.34236107000563604,0.8664944159373927,0.02526033910326279,0.8344827586206897,0.9244186046511628,1.1363636363636365,53.49173689932719,21.04738491553864,45.61242315284873,16.066259949926685
2517040,2449,2462,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.8809069718160628,0.11024345993544778,0.6666666666666666,1.0,1.6909090909090911,0.2234219223171729,1.3,2.0,0.017171717171717168,0.010269716648486077,0.002976190476190476,0.03541005291005291,0.29728859158298526,0.05028502981699304,0.17750661451880745,0.3438626052164689,0.8621072396123464,0.03779061058442759,0.8111111111111111,0.9183673469387755,1.1545454545454545,52.07340265761213,20.580465063060725,44.429966597713545,15.268733969054912
2517041,2446,2455,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.875079465988557,0.08942698116741554,0.7692307692307693,1.0,1.6909090909090911,0.1504813214295168,1.4000000000000001,1.9000000000000001,0.01717171717171717,0.007685177564887448,0.006261022927689594,0.027028218694885364,0.2989050315416317,0.03955847605996818,0.2447682030343111,0.3493202005786314,0.8522290335365926,0.017343258626080216,0.8209876543209876,0.8850574712643678,1.1545454545454545,52.739535104994545,15.947516488305885,44.32100009712774,13.641309156544581
2517042,2450,2454,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.9015681288408561,0.07921880040186523,0.7692307692307693,1.0,1.7636363636363634,0.20123585110162412,1.4000000000000001,2.0,0.013131313131313131,0.009898996910656235,0.0,0.03052910052910053,0.29983320237764,0.03176699011647326,0.2423137488479201,0.3364914102524754,0.9016781138632285,0.0318576204124322,0.8555555555555555,0.9557522123893806,1.1181818181818182,49.90239831452634,15.680643241206026,47.778650536066806,14.632272111704605
2517043,2460,2443,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.8668150031786394,0.0813350859163325,0.7692307692307693,1.0,1.6727272727272728,0.16006197146962733,1.4000000000000001,2.0,0.01818181818181818,0.006047133092509682,0.013624338624338624,0.03279100529100529,0.2993051424284811,0.03640772754454153,0.24552711223014176,0.3516971112342434,0.8329966786639829,0.018686707646856697,0.8,0.8584070796460177,1.1636363636363636,50.81220685779047,23.97252480492577,49.757922287098296,14.959561899604118
2517044,2451,2463,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.8506039415130324,0.09522653296021215,0.6666666666666666,1.0,1.6181818181818182,0.21242402628268947,1.2000000000000002,2.0,0.021212121212121213,0.011045989896478883,0.004828042328042328,0.04403439153439153,0.29799176311372483,0.04593473658860595,0.1870465286094988,0.3580190709288027,0.8204587874689442,0.04133878190091032,0.7666666666666667,0.8941176470588236,1.190909090909091,48.10912288729197,20.714798428912086,45.48515199227047,15.249757562601099
2517027,2447,2460,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,0.7770108679199588,0.07935501186390971,0.6666666666666666,0.9090909090909091,1.4,0.18090680674665816,1.1,1.7000000000000002,0.03333333333333333,0.014177165854988875,0.014285714285714285,0.065,0.29775353125097354,0.04745445750049686,0.21414018187190811,0.3723749694133464,0.7054454757984246,0.04661238172503279,0.6046511627906976,0.7702702702702703,1.3,48.05167634067156,23.283958731546495,42.16520935869022,13.499694299532296
