matchID,team1_ID,team2_ID,date,tournament,avg_closeness_centrality_T2,std_closeness_centrality_T2,min_closeness_centrality_T2,max_closeness_centrality_T2,avg_degree_centrality_T2,std_degree_centrality_T2,min_degree_centrality_T2,max_degree_centrality_T2,avg_betweenness_centrality_T2,std_betweenness_centrality_T2,min_betweenness_centrality_T2,max_betweenness_centrality_T2,avg_eigenvector_centrality_T2,std_eigenvector_centrality_T2,min_eigenvector_centrality_T2,max_eigenvector_centrality_T2,avg_clustering_T2,std_clustering_T2,min_clustering_T2,max_clustering_T2,avg_shortest_path_T2,mean_centroid_y_T2,std_centroid_y_T2,mean_centroid_x_T2,std_centroid_x_T2
2517036,2444,2445,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.6028987352516764,0.07077037461570818,0.47619047619047616,0.7142857142857143,0.8181818181818182,0.20368505911280074,0.4,1.2000000000000002,0.07575757575757575,0.05376372209586858,0.01388888888888889,0.20481481481481484,0.29128214706577005,0.07787041614018769,0.15876114100987712,0.4165627327369294,0.37753811481079663,0.09056924427835993,0.25806451612903225,0.6071428571428571,1.6818181818181819,46.86219336219336,20.29810470418611,39.46067821067822,16.841280356068545
2517037,2482,2447,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7665163119708575,0.0944509361612851,0.5555555555555556,0.9090909090909091,1.3636363636363638,0.2603240193322974,0.9,1.7000000000000002,0.03636363636363637,0.02047898171579742,0.006296296296296296,0.06523809523809525,0.2944120505534499,0.06504333477001151,0.1400874051401284,0.37167958503466075,0.7113647376703935,0.05312936350395164,0.627906976744186,0.8,1.3272727272727274,52.140365779002146,23.844122971778305,50.00202402816039,18.265230577186156
2517038,2457,2975,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7462187990262857,0.09708611104321693,0.5882352941176471,0.9090909090909091,1.2727272727272727,0.24155145919248042,1.0,1.8,0.04040404040404041,0.04044260410837151,0.008174603174603175,0.1415079365079365,0.29201939917620046,0.0750583866990346,0.15162092819381767,0.4045740810230867,0.6560338203430878,0.055945957640205386,0.5707964601769911,0.7380952380952381,1.3636363636363635,48.92181951415501,23.42518277573598,50.65609317108271,17.035602141554655
2517039,2453,2481,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7188938512467924,0.0804917408939342,0.5882352941176471,0.8333333333333334,1.2000000000000002,0.19069251784911848,0.8,1.5,0.045454545454545456,0.028130277085366046,0.010864197530864197,0.11438271604938274,0.2940852524957438,0.06650530184583411,0.18670741964721432,0.38708777252737814,0.6037078108028052,0.053268274130809035,0.5348837209302325,0.7023809523809523,1.4090909090909092,49.45661759121512,24.586758735449347,44.620585331421246,17.80490903433811
2517040,2449,2462,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7325136984227892,0.10352230008602308,0.625,0.9090909090909091,1.2181818181818185,0.2124240262826895,0.9,1.6,0.04343434343434343,0.02517532531747655,0.01,0.10518518518518519,0.2900118978218474,0.08247539045594897,0.18107245413241577,0.42164377124326174,0.6131273767983406,0.07179680981369521,0.5205479452054794,0.7727272727272727,1.3909090909090909,52.12511163821325,20.645090333255713,40.98098942056161,14.984498378127935
2517041,2446,2455,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7414252414252414,0.04833611960282479,0.6666666666666666,0.8333333333333334,1.2909090909090908,0.21513017393089512,1.0,1.6,0.0393939393939394,0.01918327400366488,0.0164021164021164,0.07343915343915343,0.2990175862710834,0.03869850138837529,0.229488167048856,0.3624562692084866,0.6431802331848486,0.05060352706236016,0.5161290322580645,0.7254901960784313,1.3545454545454545,49.283994828700706,21.457841627408197,41.76001011515717,12.912788337552483
2517042,2450,2454,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7687274846365756,0.08794077293123209,0.625,0.9090909090909091,1.3818181818181818,0.2124240262826895,1.0,1.6,0.03535353535353535,0.018000750726584417,0.0044444444444444444,0.06574074074074075,0.2965465244072761,0.05449082281499978,0.21264458113302204,0.385908218519135,0.6984481591920361,0.033881836984619135,0.6565656565656566,0.7674418604651163,1.3181818181818181,48.33145259129585,19.90442586413355,41.383995123650294,13.38009817156386
2517043,2460,2443,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7853964217600581,0.09250155258341755,0.6666666666666666,0.9090909090909091,1.4181818181818182,0.20810042076835628,1.2000000000000002,1.8,0.03232323232323232,0.015026966581159136,0.009537037037037037,0.062129629629629625,0.2952487555285699,0.06113316013361066,0.19984213281351226,0.3748983420593049,0.7294444459066253,0.049359843510338494,0.6616161616161617,0.819672131147541,1.290909090909091,51.67121342709577,24.038068594168102,50.42127741539507,15.099269979019644
2517044,2451,2463,"May 12, 2018 at 3:30:00 PM GMT+2",Germany,0.7714785214785216,0.1014303278400685,0.625,1.0,1.3636363636363638,0.2772354669450347,0.9,1.9000000000000001,0.03535353535353535,0.025590628770202323,0.004074074074074075,0.09058201058201058,0.2940940597789254,0.06646634420397125,0.17959428248238246,0.4057345249790804,0.7194079322243933,0.06459922404103115,0.6122448979591837,0.8333333333333334,1.3181818181818181,46.36216588965601,21.642021391634838,41.8704584365415,15.326954985000745
2517027,2447,2460,"May 5, 2018 at 3:30:00 PM GMT+2",Germany,0.6896436896436897,0.06890125131082613,0.625,0.8333333333333334,1.0727272727272728,0.17627926754241202,0.8,1.4000000000000001,0.051515151515151514,0.018935016329101176,0.028148148148148148,0.08518518518518518,0.29447099634727786,0.06477594630209856,0.21369104732145663,0.41523450444306437,0.5202389923724549,0.04973827434063129,0.4019607843137255,0.5952380952380952,1.4636363636363636,43.83338883338883,22.97746084961766,45.244019869019866,14.248305581364967
