matchID,team1_ID,team2_ID,date,tournament,avg_closeness_centrality_T1,std_closeness_centrality_T1,min_closeness_centrality_T1,max_closeness_centrality_T1,avg_degree_centrality_T1,std_degree_centrality_T1,min_degree_centrality_T1,max_degree_centrality_T1,avg_betweenness_centrality_T1,std_betweenness_centrality_T1,min_betweenness_centrality_T1,max_betweenness_centrality_T1,avg_eigenvector_centrality_T1,std_eigenvector_centrality_T1,min_eigenvector_centrality_T1,max_eigenvector_centrality_T1,avg_clustering_T1,std_clustering_T1,min_clustering_T1,max_clustering_T1,avg_shortest_path_T1,mean_centroid_y_T1,std_centroid_y_T1,mean_centroid_x_T1,std_centroid_x_T1,winner
2500089,1646,1659,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.7817599067599068,0.0999115634725896,0.625,1.0,1.4000000000000001,0.2796101181678127,0.8,1.8,0.033333333333333326,0.023228451378639995,0.003703703703703704,0.07400793650793651,0.2951515879329285,0.06160057669991157,0.16526213807011508,0.39844253497494597,0.74569979056235,0.06574344109351057,0.6317829457364341,0.8461538461538461,1.3,53.12014010299293,21.433050803924175,54.04495939230885,17.81476342362189,0
2500090,1628,1627,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.757011927466473,0.08182226860698935,0.625,0.9090909090909091,1.3272727272727274,0.19582417480489106,0.8,1.6,0.03737373737373737,0.01501886376355039,0.007314814814814815,0.05944444444444445,0.29354174593077675,0.06886460850830553,0.15657652245117246,0.40123340392850404,0.6667139208325877,0.03208841927424875,0.6104651162790697,0.7328767123287672,1.3363636363636364,52.822098652981005,21.72157973506347,45.0901699178015,17.62058520369667,1
2500091,1673,1609,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.7614431023521931,0.09968892043765328,0.625,0.9090909090909091,1.3272727272727274,0.2135880022631042,1.1,1.7000000000000002,0.037373737373737365,0.019163369142664255,0.018624338624338623,0.07492063492063492,0.2919795645064804,0.07521319578170421,0.16739269407734084,0.3938396752867458,0.6673390242690431,0.03391467231020642,0.6176470588235294,0.7352941176470589,1.3363636363636364,42.02386562135366,20.690639859942483,49.168263634292344,17.631581318828182,0
2500092,1612,1651,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.8101898101898102,0.12778646432719157,0.6666666666666666,1.0,1.4727272727272727,0.24528613751330983,1.1,2.0,0.02929292929292929,0.018784901545677562,0.006031746031746033,0.07687830687830688,0.29383756757093477,0.06759123310820171,0.1924029204006085,0.3834181779984615,0.7695231487819263,0.050175069748976904,0.6777777777777778,0.8557692307692307,1.2636363636363637,56.056685937162406,23.82390621057561,51.25794132040042,16.352501512867036,1
2500093,1611,1644,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.7250740745322788,0.09976652195841,0.5263157894736842,0.8333333333333334,1.2181818181818183,0.306944418475166,0.6000000000000001,1.7000000000000002,0.045454545454545456,0.042612962749799185,0.012222222222222223,0.13277777777777777,0.28158464123807897,0.10779230365806884,0.08689911945606468,0.38704975666508534,0.6774635048287394,0.1354169179473814,0.4852941176470588,0.8688524590163934,1.4090909090909092,50.635009395607774,20.613036625984613,46.686074487266175,18.756229521097453,1
2500094,1613,1610,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.7123304502983647,0.11134011721021222,0.5882352941176471,0.9090909090909091,1.1636363636363638,0.38203457071728536,0.4,1.8,0.04848484848484847,0.061177997177963704,0.0,0.19055555555555553,0.28914128403800093,0.08547753373809404,0.17686761811668272,0.41688950821817244,0.7267494410567303,0.13377126071358375,0.5387596899224806,1.0,1.4363636363636363,46.00629370629371,26.47875383652376,42.136419136419136,14.88997299410808,1
2500095,1619,1625,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.622459517372267,0.14015998933685023,0.35714285714285715,0.9090909090909091,0.9636363636363637,0.39375286959468575,0.2,1.4000000000000001,0.07777777777777778,0.05679130117375814,0.0,0.15880952380952382,0.2769522775769722,0.11919113580303957,0.03466426875776865,0.45106433576685273,0.5566648045535664,0.19691877250973555,0.0,0.7592592592592593,1.7,54.316976584022036,25.062703949958156,50.00663452708907,20.6149832230972,0
2500096,10531,1639,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.7626729331274785,0.10947437940959007,0.5,0.9090909090909091,1.3454545454545455,0.37986513483229417,0.6000000000000001,1.8,0.03838383838383838,0.03175522745312743,0.0,0.10936507936507937,0.2899039937427355,0.08285387933647329,0.08074116705425911,0.3598069448898892,0.7821761617700953,0.07723886602435287,0.6551724137931034,0.9285714285714286,1.3454545454545455,53.3746251533682,15.95842656519225,54.055287785248495,17.656143988927496,0
2500097,1624,1631,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.7486402486402486,0.08221901928950204,0.5555555555555556,0.8333333333333334,1.3090909090909093,0.2274544727853964,0.8,1.6,0.0393939393939394,0.025688558753093598,0.0091005291005291,0.09314814814814815,0.2929419066612167,0.07137317584906758,0.13645220073740336,0.38125827383888405,0.6610910277387041,0.04053809807074496,0.5921052631578947,0.717741935483871,1.3545454545454545,51.735836385836386,22.000539428937618,45.70872264989912,18.03361704982382,1
2500098,1633,1623,"May 13, 2018 at 4:00:00 PM GMT+2",England,0.69551672332421,0.13811467510086592,0.4,0.9090909090909091,1.1090909090909091,0.3679292062699648,0.4,1.6,0.056565656565656576,0.03624027255093061,0.0022222222222222222,0.11006172839506174,0.27928367290021544,0.11362095299924387,0.028011252820517533,0.4338307140558561,0.6604037448624143,0.13174464138629396,0.4166666666666667,0.925,1.509090909090909,48.77673576423577,20.57364492130424,48.434926103308456,16.44093604231148,1
