matchID,team1_ID,team2_ID,date,tournament,gk_saves_T2,red_card_T2,yellow_card_T2,assists_T2,shots_T2,shots_against_T2,shots_on_target_T2,passes_T2,goals_T2,goals_against_T2,ball_possession_T2,pass_acc_T2,gk_acc_T2,shot_acc_T2
1694404,14622,10962,2016-06-16 18:00:00-02:00,European_Championship,5.0,0.0,3.0,1.0,12,16,7.0,142,2.0,0.0,0.25,0.7171717171717171,1.0,0.5833333333333334
1694399,2413,10682,2016-06-16 15:00:00-02:00,European_Championship,2.0,0.0,1.0,0.0,7,19,3.0,138,1.0,2.0,0.23834196891191708,0.7076923076923077,0.5,0.42857142857142855
1694393,4418,8731,2016-06-15 21:00:00-02:00,European_Championship,0.0,0.0,2.0,0.0,6,19,0.0,259,0.0,2.0,0.37052932761087265,0.809375,0.0,0.0
1694398,14358,14496,2016-06-15 15:00:00-02:00,European_Championship,1.0,0.0,1.0,2.0,10,14,4.0,219,2.0,1.0,0.3183139534883721,0.8171641791044776,0.5,0.4
1694420,9109,10451,2016-06-14 18:00:00-02:00,European_Championship,3.0,0.0,1.0,2.0,15,13,7.0,297,2.0,0.0,0.4958263772954925,0.7795275590551181,1.0,0.4666666666666667
1694415,5629,3757,2016-06-13 21:00:00-02:00,European_Championship,3.0,0.0,4.0,2.0,11,18,5.0,313,2.0,0.0,0.4134742404227213,0.798469387755102,1.0,0.45454545454545453
1694409,1598,11555,2016-06-13 15:00:00-02:00,European_Championship,4.0,0.0,1.0,0.0,5,15,3.0,157,0.0,1.0,0.2038961038961039,0.6916299559471366,0.8,0.6
1694403,3148,14622,2016-06-12 21:00:00-02:00,European_Championship,7.0,0.0,1.0,0.0,6,18,4.0,209,0.0,2.0,0.2602739726027397,0.7491039426523297,0.7777777777777778,0.6666666666666666
1694402,13869,10962,2016-06-12 18:00:00-02:00,European_Championship,3.0,0.0,1.0,0.0,1,17,0.0,203,0.0,1.0,0.32794830371567046,0.8055555555555556,0.75,0.0
1694408,4687,9598,2016-06-12 15:00:00-02:00,European_Championship,2.0,0.0,1.0,0.0,17,9,6.0,274,1.0,0.0,0.4683760683760684,0.791907514450867,1.0,0.35294117647058826
1694396,10682,14496,2016-06-11 18:00:00-02:00,European_Championship,5.0,0.0,5.0,1.0,13,9,3.0,402,1.0,2.0,0.5885797950219619,0.864516129032258,0.7142857142857143,0.23076923076923078
1694391,8731,6697,2016-06-11 15:00:00-02:00,European_Championship,3.0,0.0,2.0,1.0,16,7,7.0,473,1.0,0.0,0.5883084577114428,0.8890977443609023,1.0,0.4375
1694390,4418,11944,2016-06-10 21:00:00-02:00,European_Championship,5.0,0.0,3.0,0.0,9,14,2.0,207,1.0,2.0,0.3306709265175719,0.7419354838709677,0.7142857142857143,0.2222222222222222
