matchID,team1_ID,team2_ID,date,tournament,avg_closeness_centrality_T1,std_closeness_centrality_T1,avg_degree_centrality_T1,std_degree_centrality_T1,avg_betweenness_centrality_T1,std_betweenness_centrality_T1,avg_eigenvector_centrality_T1,std_eigenvector_centrality_T1,avg_clustering_T1,std_clustering_T1,avg_shortest_path_T1,mean_centroid_y_T1,std_centroid_y_T1,mean_centroid_x_T1,std_centroid_x_T1,winner
1694440,9905,4418,2016-07-10 21:00:00-02:00,European_Championship,0.9225471498198772,0.07158348316725076,1.8181818181818181,0.14024771473219555,0.0101010101010101,0.0033766334640669554,0.3003175676199633,0.026803908071765956,0.9136932148277179,0.020255701661018182,1.0909090909090908,50.30453447645191,21.204958545709914,43.041110757665884,13.779812806670487,1
1694439,3148,4418,2016-07-07 21:00:00-02:00,European_Championship,0.9063360881542699,0.09687025329210601,1.763636363636364,0.23845230997461814,0.013131313131313133,0.008749619546723611,0.2983509244824307,0.04354097805022114,0.9090894796352601,0.03756755782558008,1.1181818181818182,46.33110130838811,21.264505600403403,55.44492336880108,16.20890181298754,0
1694438,9905,10682,2016-07-06 21:00:00-02:00,European_Championship,0.8680511407784134,0.12139754409977364,1.6363636363636365,0.27723546694503465,0.020202020202020204,0.016716629276703688,0.29206910801519714,0.0748647250198517,0.8605939304176413,0.04085986939681422,1.1818181818181819,48.19781058057446,22.364724054695795,47.085044174027125,15.41062758895473,1
1694437,4418,7839,2016-07-03 21:00:00-02:00,European_Championship,0.8548109644366327,0.10250580548397144,1.6181818181818182,0.28225772175018227,0.021212121212121213,0.01374161278426699,0.2949252997547425,0.0626750227256931,0.8430870137814082,0.049736399692694826,1.190909090909091,47.7311811689242,19.831388489794342,47.66827359861986,17.45377145434785,1
1694436,3148,3757,2016-07-02 21:00:00-02:00,European_Championship,0.902400629673357,0.08186936084487811,1.763636363636364,0.14937887931959073,0.013131313131313131,0.004226823333430309,0.29936351409912004,0.035924606265299835,0.8794399140892021,0.015677454082056945,1.1181818181818182,52.05452017525129,24.219247554841292,53.71504582579287,15.28337039826691,1
1694435,10682,5629,2016-07-01 21:00:00-02:00,European_Championship,0.8277290890927257,0.10020130482316425,1.5454545454545454,0.27423823870906106,0.025252525252525252,0.011420069274999346,0.2955245258034036,0.059785830744117995,0.8092936151841161,0.026149342743877587,1.2272727272727273,53.05780425534126,25.564601571264447,46.21846452826897,16.100365561731135,1
1694434,13869,9905,2016-06-30 21:00:00-02:00,European_Championship,0.9005350709896164,0.12589682759881132,1.7272727272727273,0.20489868490153898,0.015151515151515154,0.01003252972564272,0.29534028351244285,0.060689437663243535,0.8807102082274998,0.031172154743766875,1.1363636363636365,48.21320095941328,24.441159982302818,45.641436998745036,15.129824629222028,0
1694433,2413,7839,2016-06-27 21:00:00-02:00,European_Championship,0.8385515999152364,0.09357395251947123,1.581818181818182,0.30694441847516607,0.02323232323232323,0.01839492812831089,0.29650445674622333,0.054719265699732164,0.8464174976612792,0.06212137706817335,1.209090909090909,49.89259574869063,22.405659199631867,52.49916701076996,17.934336498494297,0
1694432,3757,1598,2016-06-27 18:00:00-02:00,European_Championship,0.805028305028305,0.1082076883442019,1.4727272727272727,0.21358800226310423,0.029292929292929294,0.014058541895088294,0.2949866214108857,0.06238576839056866,0.7593130466081219,0.045600007505135445,1.2636363636363637,52.16620566059925,23.614257371053395,41.308440612273564,15.075363213262067,1
1694431,10451,5629,2016-06-26 21:00:00-02:00,European_Championship,0.9005085823267642,0.10283137737509351,1.7454545454545454,0.1827250112931071,0.014141414141414142,0.009687187415332893,0.2977392359671477,0.04754406666230865,0.8863321191131619,0.028477009690692636,1.1272727272727272,47.331596104810345,22.542446470308644,42.269987515178165,15.19409279996335,0
1694430,3148,14496,2016-06-26 18:00:00-02:00,European_Championship,0.8619410892138165,0.08493757335495529,1.6545454545454548,0.2641061644787991,0.01919191919191919,0.011139233311474513,0.2983188368505852,0.043760284382129665,0.8672175175723553,0.04712202294395328,1.1727272727272726,46.6868215877947,21.020566505527153,56.164303925011815,16.236446966213,1
1694429,4418,8274,2016-06-26 15:00:00-02:00,European_Championship,0.8699624795881479,0.11023741182385918,1.6545454545454545,0.2807899129360091,0.019191919191919194,0.014917130896719585,0.2943448566407238,0.06534673884933079,0.8686885057460233,0.0408303829017102,1.1727272727272726,48.886686760847844,18.03011659652014,49.34664732164449,15.996581014032506,1
1694428,9598,9905,2016-06-25 21:00:00-02:00,European_Championship,0.8798474253019708,0.10657394770757302,1.6909090909090911,0.2193152378511785,0.017171717171717175,0.008597394847139592,0.29730554697632505,0.050184685375113225,0.8622084301122594,0.03527915815520397,1.1545454545454545,48.964028332617026,21.043985208904534,46.67238434506899,16.554942184508725,0
