matchID,team1_ID,team2_ID,tournament,closeness_centrality_T1,closeness_centrality_T2,degree_centrality_T1,degree_centrality_T2,betweenness_centrality_T1,betweenness_centrality_T2,eigenvector_centrality_T1,eigenvector_centrality_T2,clustering_T1,clustering_T2,avg_shortest_path_T1,avg_shortest_path_T2,centroid_y_T1,centroid_x_T1,centroid_y_T2,centroid_x_T2,winner
2576335,3162,3161,Italy,0.8197824902370356,0.8619410892138165,1.5090909090909088,1.6545454545454548,0.02727272727272728,0.01919191919191919,0.29300390811246163,0.29855777074544493,0.771824832241601,0.8750707549474638,1.2454545454545454,1.1727272727272726,45.612145258405604,45.78289358147177,48.2434312102901,45.93765305165129,0
2576336,3315,3158,Italy,0.8330154693791059,0.9146005509641874,1.563636363636364,1.8,0.024242424242424235,0.011111111111111112,0.2951293479797885,0.3004948628008278,0.7777676054121102,0.9056632797026328,1.2181818181818183,1.1,50.3270037433013,45.88260112778032,47.55496828752643,44.95529551672678,0
2576329,3173,3172,Italy,0.7643219080384857,0.8619410892138165,1.3272727272727274,1.6545454545454548,0.037373737373737365,0.019191919191919194,0.29006193724493545,0.29852546897217114,0.7230907697013911,0.8295937417455673,1.3363636363636364,1.1727272727272726,50.95586336608008,46.01594092182327,51.39715158624977,49.06607943976833,1
2576330,3165,3219,Italy,0.7356166560712015,0.8263516786244061,1.2363636363636366,1.5454545454545452,0.04242424242424242,0.025252525252525252,0.2908641443454561,0.2971786030891822,0.6827311965735577,0.846601800024646,1.3818181818181818,1.2272727272727273,49.71895472948104,43.14021417179312,52.12657279311179,49.90914157943651,1
2576331,3163,3166,Italy,0.7823338277883732,0.8639807162534435,1.4181818181818184,1.6545454545454548,0.03333333333333333,0.01919191919191919,0.2940478503134025,0.2969316235186644,0.7248941178616114,0.8364524535742069,1.3,1.1727272727272726,48.4524743265772,47.171018309176205,47.904342708600616,48.65104069800637,1
2576332,3187,3197,Italy,0.8991311718584448,0.8584294493385403,1.7636363636363634,1.6363636363636365,0.013131313131313133,0.020202020202020204,0.30052893037194206,0.2980718723396129,0.8946761685714627,0.8352399688333538,1.1181818181818182,1.1818181818181819,48.52613274670725,48.86989365428808,49.03441274582543,39.76788387178265,1
2576333,3157,3176,Italy,0.9005085823267639,0.8328943783489238,1.763636363636364,1.563636363636364,0.013131313131313131,0.024242424242424242,0.30018228181514917,0.29759237276591377,0.8897689115485271,0.8178496881101233,1.1181818181818182,1.2181818181818183,53.3525414209126,46.2982204888257,51.11280539237457,44.28639043562094,1
2576337,3204,3164,Italy,0.821360457724094,0.8277290890927254,1.5454545454545454,1.5454545454545459,0.02525252525252525,0.025252525252525252,0.29857427947886156,0.2951512478390956,0.8121525081643403,0.8059256238887251,1.2272727272727273,1.2272727272727273,51.935180972790995,47.43993121652707,49.74164400297189,49.46038424370826,1
2576338,3193,3185,Italy,0.8800441982260163,0.8190294553930918,1.7090909090909088,1.5454545454545459,0.01616161616161616,0.025252525252525252,0.299148866131393,0.30016361223742305,0.8651048708835295,0.7894498678138607,1.1454545454545455,1.2272727272727273,50.92405982819411,53.11651720727156,49.80306694597543,40.57462392809518,0
2576334,3159,3194,Italy,0.8840544482255712,0.8054218508763963,1.6909090909090907,1.4909090909090912,0.01717171717171717,0.028282828282828285,0.2950898468282186,0.2976356872578594,0.9084297247584591,0.7543798728575837,1.1545454545454545,1.2545454545454546,48.13451174244607,48.102713280603034,49.04854607583991,43.577122756453605,1
2576322,3158,3159,Italy,0.8428541155813882,0.9214876033057849,1.5818181818181818,1.8,0.02323232323232323,0.011111111111111112,0.2961427029808052,0.29832043575859246,0.8210992082049059,0.9101853127533139,1.209090909090909,1.1,47.792076085276406,47.96210229242999,50.890252350276,44.35915952589405,0
2576325,3164,3187,Italy,0.7932673387218842,0.8896860715042535,1.4545454545454548,1.7272727272727273,0.030303030303030307,0.01515151515151515,0.2974452061804793,0.2987889918742734,0.7510898343613905,0.88794157648679,1.2727272727272727,1.1363636363636365,47.61397731285252,41.26084076584926,48.64622288079667,45.0761105020651,0
2576324,3172,3157,Italy,0.8249317527392394,0.8911845730027548,1.5272727272727276,1.7272727272727273,0.026262626262626262,0.01515151515151515,0.29408000823077196,0.2981684513702582,0.8252836560495758,0.8689690492686118,1.2363636363636363,1.1363636363636365,50.64689887802556,50.8686729805391,50.133511995308716,45.16584190554312,0
2576319,3176,3173,Italy,0.8340750158931975,0.7056873607675747,1.581818181818182,1.1636363636363638,0.02323232323232323,0.050505050505050504,0.29887023528118273,0.28680639280478587,0.8343893762426802,0.7042186059693241,1.209090909090909,1.4545454545454546,52.40370044784624,47.77837778133303,51.28189731552903,47.49272544732903,0
2576320,3166,3165,Italy,0.890003935458481,0.8098719462355825,1.7272727272727273,1.4909090909090912,0.01515151515151515,0.028282828282828285,0.2989998313214737,0.29612433936895216,0.8780912742394399,0.7697398281571677,1.1363636363636365,1.2545454545454546,50.166300070241846,49.02954737092693,54.202934891905485,46.062378079436904,0
2576323,3197,3162,Italy,0.7484598734598736,0.8790111403747768,1.2909090909090908,1.6727272727272726,0.03939393939393939,0.01818181818181818,0.2952575230866363,0.29406012823886696,0.6624861046530023,0.8547648676253672,1.3545454545454545,1.1636363636363636,49.71633972088518,42.00746235657578,48.24918078194567,48.50974800663776,0
