matchID,team1_ID,team2_ID,tournament,closeness_centrality_T1,closeness_centrality_T2,degree_centrality_T1,degree_centrality_T2,betweenness_centrality_T1,betweenness_centrality_T2,eigenvector_centrality_T1,eigenvector_centrality_T2,clustering_T1,clustering_T2,avg_shortest_path_T1,avg_shortest_path_T2,centroid_y_T1,centroid_x_T1,centroid_y_T2,centroid_x_T2,winner
2500034,1611,10531,England,0.8941361668634396,0.8523257045984319,1.7454545454545458,1.6181818181818186,0.014141414141414144,0.021212121212121213,0.2995943250109688,0.2958236362577261,0.8816311606134195,0.8383592584421691,1.1272727272727272,1.190909090909091,44.840296267887794,48.531640676403896,55.93603749089642,41.933181343212695,1
2500035,1613,1673,England,0.842339478703115,0.8288567493112947,1.6,1.5090909090909093,0.02222222222222222,0.02727272727272727,0.29797697112512156,0.2889829502799574,0.8091606372318497,0.7852270410027004,1.2,1.2454545454545454,50.08710913594887,48.55281722041581,53.10084149443723,47.35081775457866,1
2500037,1644,1659,England,0.8434255138800594,0.8550540368722186,1.581818181818182,1.6363636363636365,0.023232323232323236,0.020202020202020204,0.2951226560322469,0.2980967468041362,0.8081263520532133,0.8324913577215242,1.209090909090909,1.1818181818181819,48.948302373502905,52.015429580100886,52.683629902291,42.93917169210303,0
2500038,1627,1646,England,0.8867344776435686,0.8746821360457723,1.7090909090909088,1.6727272727272728,0.016161616161616165,0.01818181818181818,0.29767407685201513,0.29577516277256977,0.8637726960322943,0.8588548986369765,1.1454545454545455,1.1636363636363636,50.775600054646105,46.12738486014046,52.998164965811405,49.07204768397043,0
2500032,1628,1612,England,0.7897519147519148,0.8105264221073045,1.4181818181818184,1.5000000000000002,0.03232323232323232,0.024999999999999994,0.2941024905642669,0.2841499446630957,0.7126605687195539,0.7893438890998886,1.290909090909091,1.25,45.3564857060776,41.660679946128866,51.06891500637226,49.83322387157133,0
2500023,1612,1644,England,0.8607604516695425,0.8643780461962279,1.6363636363636365,1.6545454545454548,0.020202020202020204,0.01919191919191919,0.29608922792191,0.29751420419177066,0.8281010307017773,0.840547493682503,1.1818181818181819,1.1727272727272726,51.506879617124646,47.21839263679087,53.98104732182531,43.73704768816723,1
2500019,1659,1627,England,0.8574909938546301,0.8163654527290891,1.6363636363636367,1.5090909090909093,0.020202020202020204,0.02727272727272727,0.29785750659977295,0.2942821704357353,0.8348376900867641,0.7869146425596117,1.1818181818181819,1.2454545454545454,48.87489375426503,49.008357380903085,46.669498254052854,44.790089772763615,1
2500021,1673,1628,England,0.8266695425786336,0.8022734840916659,1.5454545454545454,1.4727272727272729,0.02525252525252525,0.029292929292929294,0.2954967588401151,0.29518489400105513,0.7832548822005742,0.740616833938121,1.2272727272727273,1.2636363636363637,51.196504061087836,49.351002390208514,52.165712065712064,42.94319106819107,0
2500025,1639,1623,England,0.7401962831916392,0.8468160627251536,1.2575757575757576,1.6000000000000005,0.03712121212121212,0.022222222222222223,0.27927438937844623,0.2959959108303732,0.7014844696555028,0.8059272978525143,1.371212121212121,1.2,44.92890997890998,46.69157430733517,50.29112664222007,48.716649927746374,0
2500016,1639,1625,England,0.7584688039233495,0.9423455332546241,1.3454545454545457,1.8545454545454545,0.03636363636363636,0.008080808080808079,0.29770817183170384,0.2992186010561919,0.6601293384448137,0.933284423607373,1.3272727272727274,1.0727272727272728,46.34764387659124,41.932266490819124,48.71753102766103,49.98545602656281,0
2500009,1659,1624,England,0.7905390064480975,0.8652105470287288,1.4363636363636365,1.6545454545454545,0.031313131313131314,0.01919191919191919,0.29381616549487616,0.29694081647039794,0.735361229559252,0.8546351439733049,1.2818181818181817,1.1727272727272726,47.10798767938861,43.23012858724757,47.85071750575466,49.68537718374655,0
2500010,1609,1644,England,0.8337108524274299,0.8153059062149972,1.5454545454545454,1.5272727272727273,0.025252525252525252,0.026262626262626262,0.29293002270848334,0.2980522092780391,0.8048928063754685,0.7974671690227684,1.2272727272727273,1.2363636363636363,48.69691302445859,47.286889729855645,48.39756723074905,48.92592024137479,1
2500011,1610,1628,England,0.8397368182057178,0.7776768685859594,1.581818181818182,1.3818181818181818,0.02525252525252525,0.03636363636363636,0.29161382712594947,0.2887094156571384,0.8230329319574163,0.7481379460522735,1.2272727272727273,1.3272727272727274,50.977497539693246,51.880869151666055,49.51647660151655,48.171249264679915,1
2500012,1623,1651,England,0.8456089365180275,0.7974260587896951,1.6,1.4363636363636363,0.022222222222222223,0.03131313131313131,0.29699556407403455,0.293238646591444,0.8064450325309148,0.7727426224263815,1.2,1.2818181818181817,52.30960502549781,51.143798194182956,48.01788311018188,44.83251013262623,0
2500013,1673,10531,England,0.9005085823267641,0.6765211912270735,1.7454545454545454,1.0363636363636362,0.014141414141414139,0.05555555555555556,0.2974971081987603,0.2910588834510817,0.9029027516870943,0.567522286075164,1.1272727272727272,1.5,51.30162389224907,59.80938049723422,45.753957406230136,31.90867238821784,0
2500015,1613,1619,England,0.8035714285714285,0.8815691883873701,1.4545454545454548,1.6909090909090911,0.030303030303030307,0.01717171717171717,0.29180419506329297,0.2965094659027925,0.7460106026755728,0.8778615031435774,1.2727272727272727,1.1545454545454545,52.44963944836068,43.89277562448918,51.353228859440826,49.881600501152136,1
2500017,1627,1631,England,0.8139549844095298,0.8009708651419881,1.5090909090909093,1.4545454545454546,0.02727272727272727,0.030303030303030307,0.2962430076742654,0.2935946002049215,0.7868111840092876,0.8102707863857319,1.2454545454545454,1.2727272727272727,53.05770063551898,46.490606443901896,48.05492266011381,50.192620308678734,0
2500018,1633,1646,England,0.850206611570248,0.832651305913338,1.6,1.5454545454545459,0.022222222222222223,0.025252525252525252,0.2944532414786515,0.2938622596976663,0.8374224977853906,0.8210403380878877,1.2,1.2272727272727273,47.02189934950846,50.47166309827939,47.744167217462675,46.14765223140892,0
2500014,1611,1612,England,0.7701238155783611,0.8630271243907608,1.3818181818181818,1.6363636363636365,0.03434343434343434,0.0202020202020202,0.2975211364647405,0.2954000239033362,0.6831125401772028,0.8361508471966776,1.309090909090909,1.1818181818181819,48.2489394086024,43.78588828017786,50.0947333297755,49.778020383784025,1
