matchID,team1_ID,team2_ID,tournament,gk_saves_T1,gk_saves_T2,red_card_T1,red_card_T2,yellow_card_T1,yellow_card_T2,assists_T1,assists_T2,shots_T1,shots_T2,shots_on_target_T1,shots_on_target_T2,passes_T1,passes_T2,goals_T1,goals_T2,ball_possession_T1,ball_possession_T2,pass_acc_T1,pass_acc_T2,gk_acc_T1,gk_acc_T2,shot_acc_T1,shot_acc_T2,winner
1694413,11555,4687,European_Championship,0.0,7.0,0.0,0.0,3.0,2.0,0.0,2.0,13,9,5.0,2.0,290,259,0.0,2.0,0.5282331511839709,0.47176684881602915,0.7859078590785907,0.8068535825545171,0.0,1.0,0.38461538461538464,0.2222222222222222,0
1694412,9598,1598,European_Championship,2.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,13,15,4.0,2.0,246,601,2.0,1.0,0.29043683589138136,0.7095631641086186,0.8367346938775511,0.918960244648318,0.6666666666666666,0.5,0.3076923076923077,0.13333333333333333,1
1694406,14622,13869,European_Championship,2.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,19,9,4.0,2.0,488,183,0.0,1.0,0.7272727272727273,0.2727272727272727,0.8591549295774648,0.7379032258064516,0.6666666666666666,1.0,0.21052631578947367,0.2222222222222222,0
1694407,10962,3148,European_Championship,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,26,1.0,9.0,110,644,0.0,1.0,0.14588859416445624,0.8541114058355438,0.7333333333333333,0.8944444444444445,0.8888888888888888,1.0,0.5,0.34615384615384615,0
1694400,14496,2413,European_Championship,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3,24,1.0,3.0,283,513,0.0,0.0,0.3555276381909548,0.6444723618090452,0.8397626112759644,0.8890814558058926,1.0,1.0,0.3333333333333333,0.125,0
1694401,14358,10682,European_Championship,9.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,12,20,2.0,12.0,374,409,0.0,3.0,0.4776500638569604,0.5223499361430396,0.8348214285714286,0.8610526315789474,0.75,1.0,0.16666666666666666,0.6,0
1694394,6697,4418,European_Championship,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5,13,0.0,4.0,442,274,0.0,0.0,0.61731843575419,0.38268156424581007,0.8983739837398373,0.8303030303030303,1.0,0.0,0.0,0.3076923076923077,0
1694395,11944,8731,European_Championship,5.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,15,12,3.0,5.0,422,204,0.0,1.0,0.6741214057507987,0.3258785942492013,0.8423153692614771,0.769811320754717,0.8333333333333334,1.0,0.2,0.4166666666666667,0
1694423,9905,9109,European_Championship,1.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,23,3,6.0,1.0,441,270,0.0,0.0,0.620253164556962,0.379746835443038,0.8513513513513513,0.7988165680473372,1.0,1.0,0.2608695652173913,0.3333333333333333,0
1694422,7839,10451,European_Championship,4.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,8,12,2.0,4.0,145,546,1.0,1.0,0.2098408104196816,0.7901591895803184,0.7004830917874396,0.8736,0.8,0.5,0.25,0.3333333333333333,0
